trial_nr	onset	event_type	phase	response	nr_frames	subject	block	signal_present	signal_orientation	signal_opacity	correct	miniblock	blinkDuringTrial	RT	trial	confidence	key	RT_   0	onset_abs	duration
102	555.4406170845032	feedback_window	4	1	10.0	01	0.0	1.0	1.0	0.045000000000000005	1.0	1.0	0.0	0.362231969833374	102.0	1.0			569.6899151802063	0.3333718776702881
102	555.7739889621735	ITI_window	5	1	22.0	01	0.0	1.0	1.0	0.045000000000000005	1.0	1.0	0.0	0.362231969833374	102.0	1.0			570.0232870578766	0.7330281734466553
103	556.5070171356201	blockStart	0	-1	0.0	01	0.0	1.0	1.0	0.030000000000000006	-1.0	1.0	0.0	-1.0	103.0	-1.0			570.7563152313232	0.0027589797973632812
103	556.5097761154175	baseline_window	1	-1	19.0	01	0.0	1.0	1.0	0.030000000000000006	-1.0	1.0	0.0	-1.0	103.0	-1.0			570.7590742111206	0.4975168704986572
103	557.0072929859161	stimulus_window	2	-1	6.0	01	0.0	1.0	1.0	0.030000000000000006	-1.0	1.0	0.0	-1.0	103.0	-1.0			571.2565910816193	0.19153213500976562
103	557.1988251209259	response_window	3	-1	13.0	01	0.0	1.0	1.0	0.030000000000000006	-1.0	1.0	0.0	-1.0	103.0	-1.0			571.448123216629	0.35026001930236816
103	557.5026400089264	response	3	1	13						1.0			0.4953470230102539		1.0	2		571.7519381046295	
103	557.5490851402283	feedback_window	4	1	10.0	01	0.0	1.0	1.0	0.030000000000000006	1.0	1.0	0.0	0.4953470230102539	103.0	1.0			571.7983832359314	0.33334994316101074
103	557.8824350833893	ITI_window	5	1	24.0	01	0.0	1.0	1.0	0.030000000000000006	1.0	1.0	0.0	0.4953470230102539	103.0	1.0			572.1317331790924	0.8078999519348145
104	558.6903350353241	blockStart	0	-1	0.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	104.0	-1.0			572.9396331310272	0.002641916275024414
104	558.6929769515991	baseline_window	1	-1	18.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	104.0	-1.0			572.9422750473022	0.4975709915161133
104	559.1905479431152	stimulus_window	2	-1	6.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	104.0	-1.0			573.4398460388184	0.19179511070251465
104	559.3823430538177	response_window	3	-1	12.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	104.0	-1.0			573.6316411495209	0.31669187545776367
104	559.6610770225525	response	3	0	12						1.0			0.47052907943725586		0.0	3		573.9103751182556	
104	559.6990349292755	feedback_window	4	0	9.0	01	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.47052907943725586	104.0	0.0			573.9483330249786	0.30816006660461426
104	560.0071949958801	ITI_window	5	0	21.0	01	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.47052907943725586	104.0	0.0			574.2564930915833	0.6916899681091309
105	560.6988849639893	blockStart	0	-1	0.0	01	0.0	1.0	0.0	0.030000000000000006	-1.0	1.0	0.0	-1.0	105.0	-1.0			574.9481830596924	0.0027010440826416016
105	560.7015860080719	baseline_window	1	-1	18.0	01	0.0	1.0	0.0	0.030000000000000006	-1.0	1.0	0.0	-1.0	105.0	-1.0			574.950884103775	0.48081111907958984
105	561.1823971271515	stimulus_window	2	-1	6.0	01	0.0	1.0	0.0	0.030000000000000006	-1.0	1.0	0.0	-1.0	105.0	-1.0			575.4316952228546	0.19971585273742676
105	561.3821129798889	response_window	3	-1	10.0	01	0.0	1.0	0.0	0.030000000000000006	-1.0	1.0	0.0	-1.0	105.0	-1.0			575.631411075592	0.2835841178894043
105	561.6274240016937	response	3	1	10						1.0			0.44502687454223633		1.0	2		575.8767220973969	
105	561.6656970977783	feedback_window	4	1	9.0	01	0.0	1.0	0.0	0.030000000000000006	1.0	1.0	0.0	0.44502687454223633	105.0	1.0			575.9149951934814	0.30819201469421387
