trial 00,trial 01,trial 02,trial 03,trial 04,trial 05,trial 06,trial 07,trial 08,trial 09,trial 10,trial 11,trial 12,trial 13,trial 14,trial 15,trial 16,trial 17,trial 18,trial 19,trial 20,trial 21,trial 22,trial 23,trial 24,trial 25,trial 26,trial 27,trial 28,trial 29,trial 30,trial 31,trial 32,trial 33,trial 34,trial 35,trial 36,trial 37,trial 38
89.63875794410706,101.48866987228394,105.43873596191406,114.65531492233276,119.9220130443573,131.78049087524414,138.36351990699768,143.63025307655334,151.53011298179626,166.02172899246216,169.97169494628906,179.1883568763733,184.45504903793335,189.73039293289185,196.3132450580597,201.57989192008972,205.52982091903687,209.4799280166626,222.65473794937134,233.18812489509583,237.1380000114441,254.26296401023865,258.2129189968109,263.4796209335327,274.0129189491272,292.4544689655304,299.0379490852356,302.9881730079651,306.9375579357147,320.11269092559814,324.0625810623169,333.2792139053345,349.08752393722534,355.67109394073486,363.5707440376282,371.4707009792328,379.3790760040283,384.6456370353699,395.17897391319275
89.64711689949036,101.49712896347046,105.44704008102417,114.66365599632263,119.93030309677124,131.788822889328,138.37181210517883,143.63847994804382,151.5385160446167,166.03003907203674,169.98019790649414,179.19675493240356,184.46335792541504,189.73875308036804,196.32170295715332,201.5881700515747,205.53818202018738,209.4882299900055,222.66309809684753,233.19633889198303,237.14644408226013,254.27126789093018,258.2212610244751,263.4878990650177,274.02121591567993,292.4626760482788,299.04623889923096,302.99648904800415,306.9460039138794,320.12099289894104,324.0709590911865,333.2875919342041,349.09579706192017,355.6794180870056,363.57904291152954,371.4790189266205,379.38735604286194,384.65396308898926,395.18729400634766
89.65552496910095,101.50542497634888,105.45535492897034,114.67200708389282,119.93859791755676,131.79716110229492,138.38012290000916,143.64685106277466,151.54685306549072,166.03837609291077,169.98842000961304,179.20511293411255,184.47167110443115,189.74709701538086,196.32981395721436,201.59653902053833,205.5465919971466,209.49656891822815,222.6714379787445,233.20472192764282,237.15468502044678,254.27960205078125,258.2295789718628,263.49630188941956,274.0295000076294,292.4711890220642,299.0545790195465,303.004812002182,306.95428109169006,320.1293668746948,324.0792820453644,333.2959580421448,349.10409903526306,355.6877439022064,363.5874710083008,371.48736095428467,379.395663022995,384.66233110427856,395.1956729888916
89.66382598876953,101.51370191574097,105.46367692947388,114.68032193183899,119.94696092605591,131.8054769039154,138.3884539604187,143.65518808364868,151.55508995056152,166.0466868877411,169.99667286872864,179.21332597732544,184.48003697395325,189.75542306900024,196.33823108673096,201.60490798950195,205.55484294891357,209.50491094589233,222.67978191375732,233.21307706832886,237.1630048751831,254.28805708885193,258.2379150390625,263.5046548843384,274.0378170013428,292.4794239997864,299.06287908554077,303.01318192481995,306.9626770019531,320.13768100738525,324.08760809898376,333.3042109012604,349.11248302459717,355.6962220668793,363.59565901756287,371.49568605422974,379.40398693084717,384.6706578731537,395.20394706726074
89.6721019744873,101.52218890190125,105.47201895713806,114.68857598304749,119.95529198646545,131.81381392478943,138.39681196212769,143.66343688964844,151.56351709365845,166.0550138950348,170.0050609111786,179.22167587280273,184.48833894729614,189.76377296447754,196.34652996063232,201.61324095726013,205.5631959438324,209.5132279396057,222.6881139278412,233.22137308120728,237.17139196395874,254.29626989364624,258.2462410926819,263.51296305656433,274.04624605178833,292.4877851009369,299.0712480545044,303.0214788913727,306.97094988822937,320.14603209495544,324.09593892097473,333.3125810623169,349.12084102630615,355.7044539451599,363.60407996177673,371.504026889801,379.41234588623047,384.6790568828583,395.2122368812561
89.68040204048157,101.53036904335022,105.48032093048096,114.69695901870728,119.96361899375916,131.82216000556946,138.40509295463562,143.67180705070496,151.5717658996582,166.06336307525635,170.0134470462799,179.22994899749756,184.49666690826416,189.77206802368164,196.35490107536316,201.6215479373932,205.57151699066162,209.52156496047974,222.69643306732178,233.22978901863098,237.17969703674316,254.3046679496765,258.25455594062805,263.52130007743835,274.0545060634613,292.4960880279541,299.0795419216156,303.02982091903687,306.9793519973755,320.1543679237366,324.104355096817,333.3208658695221,349.12917494773865,355.7127830982208,363.61240005493164,371.51247000694275,379.42062497138977,384.6873710155487,395.2205619812012
89.68874788284302,101.53885889053345,105.48873090744019,114.70534586906433,119.9719569683075,131.83047890663147,138.41345310211182,143.6801359653473,151.58014607429504,166.07172989845276,170.02172207832336,179.2383189201355,184.50504088401794,189.78044891357422,196.36319494247437,201.629900932312,205.57995510101318,209.52991390228271,222.70476508140564,233.23813009262085,237.18803310394287,254.3129620552063,258.26292610168457,263.5296730995178,274.0629298686981,292.5044479370117,299.0879259109497,303.03810596466064,306.98763608932495,320.16270208358765,324.1127300262451,333.32922196388245,349.13747692108154,355.7210819721222,363.62072801589966,371.5207130908966,379.4290130138397,384.6956510543823,395.2288899421692
89.69714093208313,101.54712104797363,105.49725604057312,114.7136480808258,119.98026299476624,131.8387999534607,138.42174100875854,143.68847703933716,151.58846187591553,166.08000898361206,170.03009700775146,179.2467029094696,184.51336097717285,189.78865098953247,196.37159204483032,201.63823890686035,205.58817887306213,209.53822898864746,222.7131679058075,233.2464189529419,237.19637608528137,254.32127690315247,258.2712218761444,263.53801798820496,274.07116889953613,292.5127511024475,299.0962588787079,303.0464470386505,306.9960949420929,320.17102003097534,324.1210160255432,333.33752608299255,349.14582204818726,355.7294330596924,363.62903094291687,371.5290460586548,379.4373459815979,384.70393991470337,395.2373330593109
89.70543599128723,101.55547595024109,105.50541806221008,114.7220549583435,119.98862600326538,131.84710693359375,138.43011498451233,143.69687795639038,151.5968210697174,166.08842301368713,170.03835892677307,179.25507807731628,184.52173805236816,189.79704999923706,196.37989401817322,201.6465768814087,205.59653306007385,209.546550989151,222.72144508361816,233.25474405288696,237.204745054245,254.3295760154724,258.27959990501404,263.54632806777954,274.0795168876648,292.52105689048767,299.10460901260376,303.05481004714966,307.0042779445648,320.17936992645264,324.129271030426,333.34590697288513,349.1541759967804,355.7377259731293,363.63743710517883,371.53734588623047,379.44574904441833,384.7122859954834,395.2455508708954
89.71376705169678,101.56369805335999,105.51374197006226,114.73031091690063,119.99695706367493,131.85550808906555,138.4385221004486,143.70517706871033,151.60518097877502,166.09678196907043,170.0467450618744,179.26330399513245,184.53001308441162,189.8053810596466,196.38823795318604,201.65489792823792,205.60485005378723,209.55492210388184,222.72980189323425,233.26306200027466,237.2129991054535,254.33796787261963,258.2879738807678,263.55465388298035,274.08788204193115,292.5294499397278,299.1129560470581,303.06317687034607,307.01262187957764,320.18763494491577,324.13764691352844,333.354238986969,349.16255402565,355.74609088897705,363.64573788642883,371.54572105407715,379.45400404930115,384.720596075058,395.25392389297485
