trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_dur	oneOverF_texture_path	dot_color_timings_   0	dot_color_timings_   1	dot_color_timings_   2	dot_color_timings_   3	dot_color_timings_   4	dot_color_timings_   5	dot_color_timings_   6	dot_color_timings_   7	dot_color_timings_   8	dot_color_timings_   9	dot_color_timings_  10	dot_color_timings_  11	dot_color_timings_  12	dot_color_timings_  13	dot_color_timings_  14	dot_color_timings_  15	dot_color_timings_  16	dot_color_timings_  17	dot_color_timings_  18	dot_color_timings_  19	dot_color_timings_  20	dot_color_timings_  21	dot_color_timings_  22	dot_color_timings_  23	dot_color_timings_  24	dot_color_timings_  25	dot_color_timings_  26	dot_color_timings_  27	dot_color_timings_  28	dot_color_timings_  29	dot_color_timings_  30	dot_color_timings_  31	dot_color_timings_  32	dot_color_timings_  33	dot_color_timings_  34	dot_color_timings_  35	dot_color_timings_  36	dot_color_timings_  37	dot_color_timings_  38	dot_color_timings_  39	dot_color_timings_  40	dot_color_timings_  41	dot_color_timings_  42	dot_color_timings_  43	dot_color_timings_  44	dot_color_timings_  45	dot_color_timings_  46	dot_color_timings_  47	dot_color_timings_  48	dot_color_timings_  49	dot_color_timings_  50	dot_color_timings_  51	dot_color_timings_  52	dot_color_timings_  53	dot_color_timings_  54	dot_color_timings_  55	dot_color_timings_  56	dot_color_timings_  57	dot_color_timings_  58	dot_color_timings_  59	dot_color_timings_  60	dot_color_timings_  61	dot_color_timings_  62	dot_color_timings_  63	dot_color_timings_  64	dot_color_timings_  65	dot_color_timings_  66	dot_color_timings_  67	dot_color_timings_  68	dot_color_timings_  69	dot_color_timings_  70	dot_color_timings_  71	dot_color_timings_  72	dot_color_timings_  73	dot_color_timings_  74	dot_color_timings_  75	dot_color_timings_  76	dot_color_timings_  77	dot_color_timings_  78	dot_color_timings_  79	dot_color_timings_  80	dot_color_timings_  81	dot_color_timings_  82	dot_color_timings_  83	dot_color_timings_  84	dot_color_timings_  85	dot_color_timings_  86	dot_color_timings_  87	dot_color_timings_  88	dot_color_timings_  89	dot_color_timings_  90	dot_color_timings_  91	dot_color_timings_  92	dot_color_timings_  93	dot_color_timings_  94	dot_color_timings_  95	dot_color_timings_  96	dot_color_timings_  97	dot_color_timings_  98	dot_color_timings_  99	dot_color_timings_ 100	dot_color_timings_ 101	onset_abs	duration
1	5.320204973220825	pulse	2	t		isi	2.0	./textures/oneOverF_texture_1_1024_6.bmp	409	842	1081	1719	1978	2514	2888	3257	3732	4083	4511	4923	5453	5845	6221	6620	6994	7512	7962	8365	8764	9249	9591	10066	10409	10789	11336	11684	12139	12462	13036	13383	13870	14194	14540	15135	15422	15818	16346	16767	17219	17645	18036	18471	18956	19267	19605	20117	20401	21027	21470	21769	22318	22725	23007	23440	23930	24207	24602	25169	25668	25867	26427	26813	27292	27706	28041	28615	28835	29365	29728	30220	30658	30906	31426	31758	32317	32676	33015	33590	33904	34363	34885	35272	35555	36058	36560	36826	37258	37678	38110	38473	38945	39345	39745	40317	40739	41020	41554	41984	42478	42868	17.730726957321167	
2	5.6147780418396	stim	0		0.0	dur	4.0	./textures/oneOverF_texture_colored_1_1024_6.bmp	281	692	1225	1616	2150	2504	2883	3332	3835	4105	4547	4989	5437	5817	6320	6771	7181	7388	7875	8400	8710	9106	9567	10012	10385	10792	11353	11595	12002	12427	12990	13383	13806	14111	14703	15095	15500	15846	16409	16652	17093	17589	18109	18458	18826	19181	19670	20182	20520	20928	21473	21858	22203	22539	22924	23449	23953	24399	24688	25029	25636	25968	26326	26895	27138	27594	28011	28572	29039	29375	29797	30097	30681	31109	31495	31973	32306	32749	33107	33556	34007	34437	34725	35232	35665	36067	36397	36816	37346	37853	38041	38651	39023	39323	39928	40326	40569	41035	41455	41964	42359	42820	18.02530002593994	0.013757944107055664
2	5.628535985946655	stim	1		96.0	dur	4.0	./textures/oneOverF_texture_colored_1_1024_6.bmp	281	692	1225	1616	2150	2504	2883	3332	3835	4105	4547	4989	5437	5817	6320	6771	7181	7388	7875	8400	8710	9106	9567	10012	10385	10792	11353	11595	12002	12427	12990	13383	13806	14111	14703	15095	15500	15846	16409	16652	17093	17589	18109	18458	18826	19181	19670	20182	20520	20928	21473	21858	22203	22539	22924	23449	23953	24399	24688	25029	25636	25968	26326	26895	27138	27594	28011	28572	29039	29375	29797	30097	30681	31109	31495	31973	32306	32749	33107	33556	34007	34437	34725	35232	35665	36067	36397	36816	37346	37853	38041	38651	39023	39323	39928	40326	40569	41035	41455	41964	42359	42820	18.039057970046997	0.028007984161376953
2	5.656543970108032	stim	2		384.0	dur	4.0	./textures/oneOverF_texture_colored_1_1024_6.bmp	281	692	1225	1616	2150	2504	2883	3332	3835	4105	4547	4989	5437	5817	6320	6771	7181	7388	7875	8400	8710	9106	9567	10012	10385	10792	11353	11595	12002	12427	12990	13383	13806	14111	14703	15095	15500	15846	16409	16652	17093	17589	18109	18458	18826	19181	19670	20182	20520	20928	21473	21858	22203	22539	22924	23449	23953	24399	24688	25029	25636	25968	26326	26895	27138	27594	28011	28572	29039	29375	29797	30097	30681	31109	31495	31973	32306	32749	33107	33556	34007	34437	34725	35232	35665	36067	36397	36816	37346	37853	38041	38651	39023	39323	39928	40326	40569	41035	41455	41964	42359	42820	18.067065954208374	2.658717155456543
2	6.650205135345459	pulse	2	t		dur	4.0	./textures/oneOverF_texture_colored_1_1024_6.bmp	281	692	1225	1616	2150	2504	2883	3332	3835	4105	4547	4989	5437	5817	6320	6771	7181	7388	7875	8400	8710	9106	9567	10012	10385	10792	11353	11595	12002	12427	12990	13383	13806	14111	14703	15095	15500	15846	16409	16652	17093	17589	18109	18458	18826	19181	19670	20182	20520	20928	21473	21858	22203	22539	22924	23449	23953	24399	24688	25029	25636	25968	26326	26895	27138	27594	28011	28572	29039	29375	29797	30097	30681	31109	31495	31973	32306	32749	33107	33556	34007	34437	34725	35232	35665	36067	36397	36816	37346	37853	38041	38651	39023	39323	39928	40326	40569	41035	41455	41964	42359	42820	19.0607271194458	
2	7.980205059051514	pulse	2	t		dur	4.0	./textures/oneOverF_texture_colored_1_1024_6.bmp	281	692	1225	1616	2150	2504	2883	3332	3835	4105	4547	4989	5437	5817	6320	6771	7181	7388	7875	8400	8710	9106	9567	10012	10385	10792	11353	11595	12002	12427	12990	13383	13806	14111	14703	15095	15500	15846	16409	16652	17093	17589	18109	18458	18826	19181	19670	20182	20520	20928	21473	21858	22203	22539	22924	23449	23953	24399	24688	25029	25636	25968	26326	26895	27138	27594	28011	28572	29039	29375	29797	30097	30681	31109	31495	31973	32306	32749	33107	33556	34007	34437	34725	35232	35665	36067	36397	36816	37346	37853	38041	38651	39023	39323	39928	40326	40569	41035	41455	41964	42359	42820	20.390727043151855	
3	8.315261125564575	stim	0		0.0	isi	8.0	./textures/oneOverF_texture_1_1024_8.bmp	477	683	1164	1685	1940	2368	2955	3389	3790	4089	4609	5018	5389	5858	6241	6725	7135	7587	7864	8392	8776	9188	9691	10132	10356	10781	11353	11634	12044	12610	12945	13330	13707	14197	14630	15169	15487	15949	16267	16733	17266	17568	17939	18333	18728	19332	19689	20200	20525	21039	21369	21812	22128	22711	23124	23508	23943	24405	24780	25167	25665	25890	26319	26921	27317	27687	28116	28453	28892	29247	29754	30248	30485	31137	31460	31855	32357	32605	33219	33580	33936	34305	34749	35161	35545	36135	36594	36932	37206	37765	38247	38473	38904	39379	39808	40241	40571	41164	41492	41821	42449	42895	20.725783109664917	0.014024972915649414
3	8.329286098480225	stim	1		96.0	isi	8.0	./textures/oneOverF_texture_1_1024_8.bmp	477	683	1164	1685	1940	2368	2955	3389	3790	4089	4609	5018	5389	5858	6241	6725	7135	7587	7864	8392	8776	9188	9691	10132	10356	10781	11353	11634	12044	12610	12945	13330	13707	14197	14630	15169	15487	15949	16267	16733	17266	17568	17939	18333	18728	19332	19689	20200	20525	21039	21369	21812	22128	22711	23124	23508	23943	24405	24780	25167	25665	25890	26319	26921	27317	27687	28116	28453	28892	29247	29754	30248	30485	31137	31460	31855	32357	32605	33219	33580	33936	34305	34749	35161	35545	36135	36594	36932	37206	37765	38247	38473	38904	39379	39808	40241	40571	41164	41492	41821	42449	42895	20.739808082580566	0.04433703422546387
3	8.373623132705688	stim	2		384.0	isi	8.0	./textures/oneOverF_texture_1_1024_8.bmp	477	683	1164	1685	1940	2368	2955	3389	3790	4089	4609	5018	5389	5858	6241	6725	7135	7587	7864	8392	8776	9188	9691	10132	10356	10781	11353	11634	12044	12610	12945	13330	13707	14197	14630	15169	15487	15949	16267	16733	17266	17568	17939	18333	18728	19332	19689	20200	20525	21039	21369	21812	22128	22711	23124	23508	23943	24405	24780	25167	25665	25890	26319	26921	27317	27687	28116	28453	28892	29247	29754	30248	30485	31137	31460	31855	32357	32605	33219	33580	33936	34305	34749	35161	35545	36135	36594	36932	37206	37765	38247	38473	38904	39379	39808	40241	40571	41164	41492	41821	42449	42895	20.78414511680603	2.659853935241699
3	9.310206174850464	pulse	2	t		isi	8.0	./textures/oneOverF_texture_1_1024_8.bmp	477	683	1164	1685	1940	2368	2955	3389	3790	4089	4609	5018	5389	5858	6241	6725	7135	7587	7864	8392	8776	9188	9691	10132	10356	10781	11353	11634	12044	12610	12945	13330	13707	14197	14630	15169	15487	15949	16267	16733	17266	17568	17939	18333	18728	19332	19689	20200	20525	21039	21369	21812	22128	22711	23124	23508	23943	24405	24780	25167	25665	25890	26319	26921	27317	27687	28116	28453	28892	29247	29754	30248	30485	31137	31460	31855	32357	32605	33219	33580	33936	34305	34749	35161	35545	36135	36594	36932	37206	37765	38247	38473	38904	39379	39808	40241	40571	41164	41492	41821	42449	42895	21.720728158950806	
3	10.640206098556519	pulse	2	t		isi	8.0	./textures/oneOverF_texture_1_1024_8.bmp	477	683	1164	1685	1940	2368	2955	3389	3790	4089	4609	5018	5389	5858	6241	6725	7135	7587	7864	8392	8776	9188	9691	10132	10356	10781	11353	11634	12044	12610	12945	13330	13707	14197	14630	15169	15487	15949	16267	16733	17266	17568	17939	18333	18728	19332	19689	20200	20525	21039	21369	21812	22128	22711	23124	23508	23943	24405	24780	25167	25665	25890	26319	26921	27317	27687	28116	28453	28892	29247	29754	30248	30485	31137	31460	31855	32357	32605	33219	33580	33936	34305	34749	35161	35545	36135	36594	36932	37206	37765	38247	38473	38904	39379	39808	40241	40571	41164	41492	41821	42449	42895	23.05072808265686	
