trial 00,trial 01,trial 02,trial 03,trial 04,trial 05,trial 06,trial 07,trial 08,trial 09,trial 10,trial 11,trial 12,trial 13,trial 14,trial 15,trial 16,trial 17,trial 18,trial 19,trial 20,trial 21,trial 22,trial 23,trial 24,trial 25,trial 26,trial 27,trial 28,trial 29,trial 30,trial 31,trial 32,trial 33,trial 34,trial 35,trial 36,trial 37,trial 38,trial 39,trial 40,trial 41,trial 42,trial 43,trial 44,trial 45,trial 46,trial 47,trial 48,trial 49,trial 50,trial 51,trial 52,trial 53,trial 54,trial 55,trial 56,trial 57,trial 58,trial 59,trial 60,trial 61,trial 62,trial 63,trial 64,trial 65,trial 66,trial 67,trial 68,trial 69,trial 70,trial 71,trial 72,trial 73,trial 74,trial 75,trial 76,trial 77,trial 78,trial 79,trial 80,trial 81,trial 82,trial 83,trial 84,trial 85,trial 86,trial 87,trial 88,trial 89,trial 90,trial 91,trial 92,trial 93,trial 94,trial 95,trial 96,trial 97,trial 98,trial 99
17.888484954833984,22.222275972366333,26.556252002716064,30.890175104141235,35.22412395477295,39.55811810493469,43.89205288887024,48.22599911689758,52.559930086135864,56.89386701583862,61.22782111167908,65.56176495552063,69.8957200050354,74.22967100143433,78.56362390518188,82.89762091636658,87.23151898384094,91.56547594070435,95.89941596984863,100.23339796066284,104.56734108924866,108.90131211280823,113.23521208763123,117.56915807723999,121.90313792228699,126.23709201812744,130.57104301452637,134.9049789905548,139.2389430999756,143.57287907600403,147.90682697296143,152.24075388908386,156.57472801208496,160.9086549282074,165.24264001846313,169.57655811309814,173.91050696372986,178.24448800086975,182.57840991020203,186.91235089302063,191.2463150024414,195.58025002479553,199.91420006752014,204.2481451034546,208.5821349620819,212.9160668849945,217.25003790855408,221.58399891853333,225.9179220199585,230.2518699169159,234.5858280658722,238.91973996162415,243.25370407104492,247.587651014328,251.92161011695862,256.255539894104,260.58951902389526,264.9234690666199,269.2573940753937,273.5913391113281,277.92532205581665,282.25924611091614,286.5932810306549,290.92714500427246,295.26113200187683,299.59507393836975,303.9290189743042,308.26297307014465,312.59691405296326,316.9308590888977,321.2647879123688,325.59874200820923,329.932697057724,334.2666621208191,338.6005930900574,342.9345419406891,347.268541097641,351.6024549007416,355.93648505210876,360.27033400535583,364.60429406166077,368.938285112381,373.27219796180725,377.60614705085754,381.9401080608368,386.2740559577942,390.60802698135376,394.9419639110565,399.27589106559753,403.60984802246094,407.94382405281067,412.2778060436249,416.61177611351013,420.945650100708,425.2795970439911,429.61354994773865,433.9475018978119,438.2814619541168,442.61540699005127,446.94936203956604
17.89681911468506,22.230659008026123,26.564584970474243,30.898523092269897,35.23247408866882,39.56642389297485,43.900365114212036,48.23433589935303,52.56826210021973,56.902225971221924,61.23615908622742,65.57014393806458,69.90407705307007,74.23808598518372,78.57194304466248,82.90597009658813,87.23983788490295,91.57379388809204,95.90775108337402,100.24170708656311,104.57564306259155,108.90961694717407,113.24353504180908,117.57751297950745,121.91145610809326,126.24541091918945,130.57934403419495,134.9133369922638,139.24724292755127,143.5812029838562,147.9151349067688,152.24910593032837,156.58306407928467,160.91703605651855,165.2509639263153,169.5849130153656,173.9188370704651,178.2528040409088,182.58673810958862,186.9206919670105,191.2546510696411,195.5885820388794,199.92255902290344,204.25648403167725,208.59042692184448,212.92440009117126,217.2583270072937,221.59228110313416,225.92625498771667,230.26017498970032,234.5941469669342,238.9281289577484,243.26205897331238,247.5960350036621,251.92993688583374,256.26389503479004,260.59782791137695,264.9317739009857,269.26573395729065,273.59969091415405,277.9336259365082,282.2675790786743,286.6015360355377,290.9354989528656,295.2694230079651,299.6033890247345,303.9373290538788,308.2712860107422,312.6052510738373,316.93918895721436,321.27312207221985,325.6071050167084,329.9410490989685,334.2749879360199,338.6089460849762,342.94289112091064,347.2768499851227,351.6107931137085,355.94476199150085,360.27867603302,364.6126160621643,368.9465889930725,373.28057503700256,377.61447191238403,381.94850301742554,386.28237891197205,390.6163339614868,394.95027899742126,399.284264087677,403.61817693710327,407.95219111442566,412.2861111164093,416.62003898620605,420.9540069103241,425.2879719734192,429.62196111679077,433.9558300971985,438.2898020744324,442.62373208999634,446.95768094062805
17.905152082443237,22.239025115966797,26.57291889190674,30.906856060028076,35.240801095962524,39.574755907058716,43.908705949783325,48.2426540851593,52.57659602165222,56.910547971725464,61.244489908218384,65.57844805717468,69.91242003440857,74.24634909629822,78.58030390739441,82.91424012184143,87.2481861114502,91.58215498924255,95.91613006591797,100.25005793571472,104.58399295806885,108.91793203353882,113.2519121170044,117.58582210540771,121.91978311538696,126.25375699996948,130.5876920223236,134.92162799835205,139.25557589530945,143.5895369052887,147.92352199554443,152.2574200630188,156.59136700630188,160.92532896995544,165.25930309295654,169.5932219028473,173.92718291282654,178.2611379623413,182.5950849056244,186.9290370941162,191.26298999786377,195.59696006774902,199.93088388442993,204.26487112045288,208.59876704216003,212.93271899223328,217.26678109169006,221.6006441116333,225.93456292152405,230.26853108406067,234.60247111320496,238.93640899658203,243.27037906646729,247.60431504249573,251.93825602531433,256.27220702171326,260.6061849594116,264.9401249885559,269.2740669250488,273.6080310344696,277.9420430660248,282.2759299278259,286.6099090576172,290.943825006485,295.27778911590576,299.611713886261,303.9456639289856,308.2796239852905,312.6135640144348,316.94752311706543,321.28147292137146,325.6154110431671,329.9493908882141,334.28332901000977,338.61727809906006,342.95121788978577,347.28519201278687,351.6191210746765,355.95307898521423,360.28705406188965,364.62097811698914,368.95494198799133,373.2888729572296,377.6228370666504,381.956768989563,386.29072189331055,390.6246700286865,394.95862007141113,399.2925751209259,403.6265161037445,407.9604721069336,412.2944610118866,416.6283600330353,420.9623529911041,425.296266078949,429.63023495674133,433.96419405937195,438.29813408851624,442.63208508491516,446.9660339355469
17.91348695755005,22.24731206893921,26.58124089241028,30.915189027786255,35.2491569519043,39.58310890197754,43.91706991195679,48.25103211402893,52.5849449634552,56.91891598701477,61.2528281211853,65.58678007125854,69.92073607444763,74.25469708442688,78.58865094184875,82.92259693145752,87.256520986557,91.59046792984009,95.92442011833191,100.25838088989258,104.59232592582703,108.92628502845764,113.26030707359314,117.59418296813965,121.92813110351562,126.26207900047302,130.59608602523804,134.9299910068512,139.26393389701843,143.59786009788513,147.93180990219116,152.26577997207642,156.59970688819885,160.933660030365,165.26761198043823,169.60158610343933,173.93550300598145,178.2694571018219,182.60339903831482,186.9374179840088,191.2713339328766,195.6052598953247,199.93922305107117,204.27315497398376,208.60712695121765,212.9410901069641,217.27503490447998,221.60897493362427,225.94292306900024,230.27685689926147,234.61082410812378,238.94474005699158,243.2787001132965,247.6127200126648,251.94668412208557,256.2805440425873,260.61450004577637,264.94844698905945,269.2824230194092,273.61634707450867,277.9503049850464,282.28425192832947,286.6181900501251,290.9521610736847,295.2861399650574,299.6200580596924,303.954008102417,308.28797698020935,312.621915102005,316.95585799217224,321.2897980213165,325.62374901771545,329.9577000141144,334.2916429042816,338.6255888938904,342.95954608917236,347.29349994659424,351.627445936203,355.96141600608826,360.29534912109375,364.62929606437683,368.9632580280304,373.2972240447998,377.6311619281769,381.96510910987854,386.2990539073944,390.63300800323486,394.96697306632996,399.30090403556824,403.63488006591797,407.9688010215759,412.3027470111847,416.6367030143738,420.9706521034241,425.3046269416809,429.63855504989624,433.97252106666565,438.30645203590393,442.640417098999,446.97438311576843
17.921823024749756,22.255615949630737,26.589565992355347,30.923512935638428,35.25749492645264,39.59141206741333,43.92535996437073,48.259313106536865,52.593266010284424,56.92723107337952,61.26117706298828,65.59510803222656,69.9290680885315,74.26305389404297,78.59699702262878,82.93092799186707,87.26485204696655,91.59881806373596,95.93275189399719,100.26671099662781,104.60064506530762,108.9346010684967,113.26855111122131,117.60249996185303,121.93645596504211,126.27039694786072,130.60435605049133,134.9383111000061,139.2722520828247,143.60621190071106,147.94013810157776,152.27412796020508,156.60806012153625,160.94202494621277,165.27596712112427,169.60991311073303,173.94385194778442,178.2777919769287,182.6117389202118,186.94568705558777,191.27963709831238,195.61361408233643,199.94753408432007,204.28151297569275,208.61543107032776,212.9494469165802,217.28335309028625,221.61729502677917,225.95125007629395,230.28518390655518,234.61913299560547,238.95309495925903,243.28708505630493,247.62103509902954,251.95496606826782,256.2888948917389,260.6228311061859,264.956778049469,269.29074001312256,273.62470602989197,277.9586400985718,282.2925820350647,286.6265399456024,290.960489988327,295.2944450378418,299.62840700149536,303.9623329639435,308.29631209373474,312.6302740573883,316.9641890525818,321.2981369495392,325.63210010528564,329.96607089042664,334.2999939918518,338.6339349746704,342.96788597106934,347.3018310070038,351.6358149051666,355.96975111961365,360.3036789894104,364.63763403892517,368.9715950489044,373.30554008483887,377.63951992988586,381.97343397140503,386.3073899745941,390.64136695861816,394.97528409957886,399.3092350959778,403.6431839466095,407.9771330356598,412.311105966568,416.6450459957123,420.97902488708496,425.31295895576477,429.64689898490906,433.980840921402,438.31477999687195,442.64879393577576,446.9826920032501
17.93008589744568,22.263995885849,26.597919940948486,30.931889057159424,35.26585006713867,39.599761962890625,43.933727979660034,48.26764988899231,52.60159993171692,56.93554401397705,61.26956295967102,65.60345411300659,69.93738198280334,74.27135992050171,78.60528898239136,82.93923997879028,87.2732629776001,91.60713410377502,95.94110798835754,100.27505803108215,104.60901594161987,108.94293808937073,113.27689599990845,117.6108250617981,121.94479489326477,126.27873492240906,130.61270403862,134.94663190841675,139.28058004379272,143.61452198028564,147.9484829902649,152.2824420928955,156.6163830757141,160.95032906532288,165.28427600860596,169.61825108528137,173.95217490196228,178.28612804412842,182.62013912200928,186.9540228843689,191.28799605369568,195.6219379901886,199.95586705207825,204.2898190021515,208.6237781047821,212.95773005485535,217.29166889190674,221.62568402290344,225.95957207679749,230.29351496696472,234.6274769306183,238.96141004562378,243.29536294937134,247.62932205200195,251.96326208114624,256.29722905158997,260.63116788864136,264.9651279449463,269.299103975296,273.6330358982086,277.9669849872589,282.3009490966797,286.6348910331726,290.9688129425049,295.3027911186218,299.63670802116394,303.9706840515137,308.3046269416809,312.6385850906372,316.97250390052795,321.30646300315857,325.64044189453125,329.97438502311707,334.3083128929138,338.64225602149963,342.97621989250183,347.31017088890076,351.64417910575867,355.97807788848877,360.3120450973511,364.6460208892822,368.97997188568115,373.31389594078064,377.6478159427643,381.98176288604736,386.31575202941895,390.6496698856354,394.9836149215698,399.31756591796875,403.65154004096985,407.98546600341797,412.3194160461426,416.65338611602783,420.98731899261475,425.32126688957214,429.6552219390869,433.989187002182,438.32313108444214,442.6570739746094,446.99105501174927
17.938366889953613,22.272291898727417,26.60625696182251,30.94026207923889,35.27415490150452,39.60810708999634,43.942079067230225,48.27599906921387,52.60996103286743,56.94399809837341,61.277843952178955,65.61177706718445,69.94572591781616,74.27967596054077,78.61365103721619,82.94758296012878,87.28156304359436,91.61546897888184,95.94944095611572,100.28338694572449,104.61732912063599,108.95129704475403,113.28521609306335,117.61918997764587,121.953115940094,126.28707790374756,130.62104105949402,134.95502710342407,139.28893494606018,143.6229019165039,147.95680689811707,152.29075598716736,156.6247260570526,160.9586639404297,165.29261708259583,169.62658500671387,173.960510969162,178.29444789886475,182.6284511089325,186.9623579978943,191.29632306098938,195.6302580833435,199.96421003341675,204.29815888404846,208.63212609291077,212.96609210968018,217.3000590801239,221.63399004936218,225.96792793273926,230.30185389518738,234.63590097427368,238.96976804733276,243.30372095108032,247.63767099380493,251.97162199020386,256.30554389953613,260.63950300216675,264.97344493865967,269.3074080944061,273.6413700580597,277.97529911994934,282.309278011322,286.6431999206543,290.9771509170532,295.3111228942871,299.64506697654724,303.97906708717346,308.3129930496216,312.64692091941833,316.98084902763367,321.3148000240326,325.64875292778015,329.9827039241791,334.31666803359985,338.65060210227966,342.9845550060272,347.3185019493103,351.6524889469147,355.9864270687103,360.3203589916229,364.654305934906,368.9882609844208,373.32222604751587,377.6561529636383,381.9901170730591,386.3240580558777,390.6579968929291,394.99194502830505,399.3259871006012,403.6598629951477,407.99382996559143,412.3277530670166,416.66170501708984,420.9956810474396,425.3296101093292,429.6635510921478,433.9975609779358,438.33144998550415,442.6654291152954,446.9993579387665
17.94675588607788,22.280635118484497,26.614593029022217,30.948585987091064,35.282471895217896,39.6164870262146,43.95038604736328,48.28433895111084,52.61827301979065,56.952215909957886,61.286160945892334,65.62014508247375,69.95406603813171,74.2880289554596,78.62204504013062,82.95592999458313,87.28990507125854,91.62381792068481,95.9577739238739,100.29177808761597,104.62565994262695,108.9595959186554,113.29361009597778,117.62756896018982,121.96145009994507,126.29540491104126,130.62935090065002,134.96329498291016,139.2972218990326,143.63122010231018,147.96513891220093,152.29911088943481,156.63309693336487,160.96703600883484,165.30095601081848,169.63493299484253,173.96884489059448,178.30278992652893,182.6367471218109,186.97073006629944,191.30464792251587,195.6385989189148,199.97254395484924,204.30649995803833,208.6404368877411,212.97439789772034,217.30834007263184,221.6422929763794,225.9762580394745,230.3101921081543,234.644140958786,238.97810792922974,243.31212902069092,247.64601802825928,251.97993898391724,256.31392002105713,260.64783000946045,264.9817941188812,269.31573700904846,273.649698972702,277.9836390018463,282.3175599575043,286.65156507492065,290.98548889160156,295.31945610046387,299.6533920764923,303.9873960018158,308.3212978839874,312.6552560329437,316.98917603492737,321.32312989234924,325.657124042511,329.9910569190979,334.32502007484436,338.6590130329132,342.9929270744324,347.32683396339417,351.6607780456543,355.994756937027,360.32868909835815,364.66267108917236,368.9966230392456,373.3305380344391,377.6644880771637,381.99844694137573,386.3324100971222,390.66636204719543,395.0003480911255,399.33426690101624,403.66820096969604,408.0021300315857,412.33610105514526,416.6700620651245,421.00400400161743,425.33797693252563,429.67188692092896,434.00585198402405,438.33978509902954,442.6737389564514,447.0076858997345
17.955059051513672,22.288973093032837,26.622972011566162,30.95690107345581,35.29080891609192,39.62474989891052,43.95873999595642,48.29265308380127,52.62663006782532,56.96054697036743,61.29449391365051,65.62845396995544,69.96241903305054,74.29634809494019,78.63030099868774,82.96424889564514,87.29819989204407,91.63214898109436,95.96610403060913,100.30008602142334,104.63404893875122,108.96796107292175,113.30192995071411,117.63584804534912,121.96978998184204,126.30373907089233,130.6376919746399,134.9716420173645,139.30558896064758,143.63953399658203,147.97348308563232,152.30744409561157,156.6413779258728,160.97535109519958,165.30929803848267,169.64324688911438,173.9772069454193,178.31113409996033,182.64511895179749,186.97910404205322,191.31300497055054,195.64694690704346,199.9808909893036,204.31482005119324,208.648775100708,212.98271989822388,217.31669902801514,221.65062403678894,225.9845700263977,230.31852102279663,234.65246510505676,238.98646092414856,243.3203821182251,247.65432810783386,251.98829007148743,256.3222200870514,260.6561698913574,264.9902000427246,269.3240749835968,273.65804409980774,277.991996049881,282.32594990730286,286.6598958969116,290.99382495880127,295.3277950286865,299.6617269515991,303.99569511413574,308.32964611053467,312.6635699272156,316.99754190444946,321.3314940929413,325.6654169559479,329.999370098114,334.3333840370178,338.66727900505066,343.0012550354004,347.3351650238037,351.6691401004791,356.00305700302124,360.33703899383545,364.67097306251526,369.00495290756226,373.3388810157776,377.672828912735,382.0067720413208,386.3407258987427,390.6746709346771,395.0086259841919,399.34257197380066,403.67659091949463,408.01049399375916,412.34442710876465,416.67837595939636,421.0123379230499,425.3462960720062,429.68024802207947,434.0141739845276,438.348149061203,442.68207693099976,447.01604294776917
17.963368892669678,22.297287940979004,26.631263971328735,30.965192079544067,35.29920506477356,39.63259506225586,43.9670569896698,48.30103397369385,52.634965896606445,56.96890211105347,61.30284595489502,65.63680505752563,69.9707260131836,74.30467104911804,78.63865208625793,82.97258400917053,87.3065230846405,91.64047503471375,95.97442507743835,100.30783009529114,104.64234805107117,108.97627997398376,113.31021499633789,117.64422988891602,121.97815299034119,126.31206202507019,130.64606595039368,134.97999691963196,139.31396293640137,143.64790892601013,147.98182606697083,152.3157639503479,156.64971089363098,160.98309803009033,165.31763005256653,169.6515600681305,173.98551607131958,178.31946206092834,182.65342497825623,186.9873969554901,191.32130908966064,195.655268907547,199.98920607566833,204.32316088676453,208.6571478843689,212.99106907844543,217.3250389099121,221.6584119796753,225.99292612075806,230.32685089111328,234.66079711914062,238.99475288391113,243.32870411872864,247.66267800331116,251.99662494659424,256.33055090904236,260.6645209789276,264.9984679222107,269.332407951355,273.66636991500854,278.00031900405884,282.333713054657,286.66823291778564,291.0021870136261,295.33612394332886,299.6700870990753,304.00403594970703,308.33798694610596,312.6719300746918,317.00585103034973,321.3398039340973,325.67375898361206,330.0077199935913,334.3416678905487,338.6756100654602,343.00901889801025,347.34350395202637,351.67745089530945,356.01140904426575,360.3453679084778,364.6793189048767,369.0132761001587,373.3471999168396,377.68120288848877,382.01510405540466,386.3490560054779,390.6830310821533,395.01698303222656,399.35093998908997,403.68431091308594,408.0188019275665,412.35276103019714,416.68670105934143,421.0206561088562,425.35460591316223,429.68855690956116,434.022509098053,438.35645389556885,442.69040393829346,447.02437591552734
