trial_nr	onset	event_type	phase	response	nr_frames	flicker_speed	onset_abs	duration
0	0.016587018966674805	stim	0		0.0	220.0	21.66138195991516	0.0024230480194091797
0	0.019010066986083984	stim	1		0.0	220.0	21.66380500793457	0.0013089179992675781
0	0.020318984985351562	stim	2		867.0	220.0	21.665113925933838	7.247277021408081
1	7.267596006393433	stim	0		400.0	220.0	28.91239094734192	3.342440128326416
1	10.593369960784912	pulse	0	t		220.0	32.2381649017334	
1	10.610036134719849	stim	1		950.0	220.0	32.254831075668335	7.917155981063843
1	18.52719211578369	stim	2		871.0	220.0	40.17198705673218	22.48695993423462
