trial_nr	onset	event_type	phase	response	nr_frames	flicker_speed	onset_abs	duration
dummy	0.008383035659790039	stim	0		0.0	134.0	40.730242013931274	0.0019989013671875
dummy	0.010381937026977539	stim	1		0.0	134.0	40.73224091529846	0.0010001659393310547
dummy	0.011382102966308594	stim	2		2015.0	134.0	40.73324108123779	16.788578033447266
dummy	1.591719150543213	pulse	2	t		134.0	42.3135781288147	
dummy	3.1917531490325928	pulse	2	t		134.0	43.91361212730408	
dummy	4.791738033294678	pulse	2	t		134.0	45.51359701156616	
dummy	6.391744136810303	pulse	2	t		134.0	47.11360311508179	
dummy	7.991775989532471	pulse	2	t		134.0	48.713634967803955	
dummy	9.591660976409912	pulse	2	t		134.0	50.3135199546814	
dummy	11.19179105758667	pulse	2	t		134.0	51.913650035858154	
dummy	12.791649103164673	pulse	2	t		134.0	53.51350808143616	
dummy	14.39175009727478	pulse	2	t		134.0	55.113609075546265	
dummy	15.991794109344482	pulse	2	t		134.0	56.71365308761597	
0	16.799960136413574	stim	0		96.0	134.0	57.52181911468506	0.7999918460845947
0	17.591782093048096	pulse	0	t		134.0	58.31364107131958	
0	17.59995198249817	stim	1		361.0	134.0	58.32181096076965	3.008211135864258
0	19.191797971725464	pulse	1	t		134.0	59.91365694999695	
0	20.608163118362427	stim	2		2232.0	134.0	61.33002209663391	18.600011825561523
0	20.791818141937256	pulse	2	t		134.0	61.51367712020874	
0	22.39168405532837	pulse	2	t		134.0	63.11354303359985	
0	23.991737127304077	pulse	2	t		134.0	64.71359610557556	
0	25.59161114692688	pulse	2	t		134.0	66.31347012519836	
0	27.191795110702515	pulse	2	t		134.0	67.913654088974	
0	28.791568994522095	pulse	2	t		134.0	69.51342797279358	
0	30.391659021377563	pulse	2	t		134.0	71.11351799964905	
0	31.99164605140686	pulse	2	t		134.0	72.71350502967834	
0	33.59164214134216	pulse	2	t		134.0	74.31350111961365	
0	35.19166898727417	pulse	2	t		134.0	75.91352796554565	
0	36.79162001609802	pulse	2	t		134.0	77.5134789943695	
0	38.39158010482788	pulse	2	t		134.0	79.11343908309937	
1	39.20817494392395	stim	0		95.0	134.0	79.93003392219543	0.7916321754455566
1	39.99161696434021	pulse	0	t		134.0	80.7134759426117	
1	39.99980711936951	stim	1		361.0	134.0	80.72166609764099	3.0083088874816895
1	41.59151005744934	pulse	1	t		134.0	82.31336903572083	
1	43.008116006851196	stim	2		1656.0	134.0	83.72997498512268	13.799957036972046
1	43.19158697128296	pulse	2	t		134.0	83.91344594955444	
1	43.22482514381409	response	2	b		134.0	83.94668412208557	
1	44.7915940284729	pulse	2	t		134.0	85.51345300674438	
1	46.39152193069458	pulse	2	t		134.0	87.11338090896606	
1	47.9915509223938	pulse	2	t		134.0	88.71340990066528	
1	48.97493314743042	response	2	b		134.0	89.6967921257019	
1	49.59150815010071	pulse	2	t		134.0	90.31336712837219	
1	51.19163107872009	pulse	2	t		134.0	91.91349005699158	
1	52.74152112007141	response	2	b		134.0	93.4633800983429	
1	52.79151201248169	pulse	2	t		134.0	93.51337099075317	
1	54.391602993011475	pulse	2	t		134.0	95.11346197128296	
1	55.99146914482117	pulse	2	t		134.0	96.71332812309265	
2	56.80807304382324	stim	0		95.0	134.0	97.52993202209473	0.7916679382324219
2	57.59152603149414	pulse	0	t		134.0	98.31338500976562	
2	57.599740982055664	stim	1		361.0	134.0	98.32159996032715	3.0082671642303467
2	58.2330801486969	response	1	b		134.0	98.95493912696838	
2	59.19140911102295	pulse	1	t		134.0	99.91326808929443	
2	60.60800814628601	stim	2		2040.0	134.0	101.3298671245575	16.999979972839355
2	60.79150199890137	pulse	2	t		134.0	101.51336097717285	
2	62.391539096832275	pulse	2	t		134.0	103.11339807510376	
2	63.35810995101929	response	2	b		134.0	104.07996892929077	
2	63.99142098426819	pulse	2	t		134.0	104.71327996253967	
2	65.59148907661438	pulse	2	t		134.0	106.31334805488586	
2	67.19139695167542	pulse	2	t		134.0	107.9132559299469	
2	68.68307209014893	response	2	b		134.0	109.40493106842041	
2	68.7914309501648	pulse	2	t		134.0	109.51328992843628	
2	70.3914680480957	pulse	2	t		134.0	111.11332702636719	
2	71.99145293235779	pulse	2	t		134.0	112.71331191062927	
2	73.59148097038269	pulse	2	t		134.0	114.31333994865417	
2	73.90806603431702	response	2	b		134.0	114.6299250125885	
2	75.19140410423279	pulse	2	t		134.0	115.91326308250427	
2	76.79144096374512	pulse	2	t		134.0	117.5132999420166	
3	77.60798811912537	stim	0		95.0	134.0	118.32984709739685	0.7916200160980225
3	77.76652812957764	response	0	b		134.0	118.48838710784912	
3	78.39140009880066	pulse	0	t		134.0	119.11325907707214	
3	78.39960813522339	stim	1		361.0	134.0	119.12146711349487	3.0083189010620117
3	79.99137306213379	pulse	1	t		134.0	120.71323204040527	
3	81.4079270362854	stim	2		2424.0	134.0	122.12978601455688	20.19991397857666
3	81.5914900302887	pulse	2	t		134.0	122.31334900856018	
3	82.791433095932	response	2	b		134.0	123.51329207420349	
3	83.19135212898254	pulse	2	t		134.0	123.91321110725403	
3	84.79143810272217	pulse	2	t		134.0	125.51329708099365	
3	86.39141607284546	pulse	2	t		134.0	127.11327505111694	
3	87.991455078125	pulse	2	t		134.0	128.71331405639648	
3	89.43296003341675	response	2	b		134.0	130.15481901168823	
3	89.59128713607788	pulse	2	t		134.0	130.31314611434937	
3	91.1914119720459	pulse	2	t		134.0	131.91327095031738	
3	92.79136610031128	pulse	2	t		134.0	133.51322507858276	
3	93.02466297149658	response	2	b		134.0	133.74652194976807	
