trial_nr	onset	event_type	phase	response	nr_frames	flicker_speed	onset_abs	duration
dummy	0.00827789306640625	stim	0		0.0	134.0	40.83308482170105	0.001992940902709961
dummy	0.010270833969116211	stim	1		0.0	134.0	40.83507776260376	0.0010790824890136719
dummy	0.011349916458129883	stim	2		2015.0	134.0	40.83615684509277	16.788599967956543
dummy	1.5916829109191895	pulse	2	t		134.0	42.41648983955383	
dummy	3.183928966522217	pulse	2	t		134.0	44.00873589515686	
dummy	4.783740997314453	pulse	2	t		134.0	45.6085479259491	
dummy	6.383793830871582	pulse	2	t		134.0	47.208600759506226	
dummy	7.991659879684448	pulse	2	t		134.0	48.81646680831909	
dummy	9.59172797203064	pulse	2	t		134.0	50.41653490066528	
dummy	11.191665887832642	pulse	2	t		134.0	52.016472816467285	
dummy	12.791741847991943	pulse	2	t		134.0	53.61654877662659	
dummy	14.391628980636597	pulse	2	t		134.0	55.21643590927124	
dummy	15.99166488647461	pulse	2	t		134.0	56.81647181510925	
0	16.799949884414673	stim	0		96.0	134.0	57.624756813049316	0.7999739646911621
0	17.59160089492798	pulse	0	t		134.0	58.41640782356262	
0	17.599923849105835	stim	1		181.0	134.0	58.42473077774048	1.5082290172576904
0	19.108152866363525	stim	2		2412.0	134.0	59.93295979499817	20.09997296333313
0	19.18368101119995	pulse	2	t		134.0	60.008487939834595	
0	20.783694982528687	pulse	2	t		134.0	61.60850191116333	
0	22.383561849594116	pulse	2	t		134.0	63.20836877822876	
0	23.99160099029541	pulse	2	t		134.0	64.81640791893005	
0	25.591611862182617	pulse	2	t		134.0	66.41641879081726	
0	27.191666841506958	pulse	2	t		134.0	68.0164737701416	
0	28.791563987731934	pulse	2	t		134.0	69.61637091636658	
0	30.39161992073059	pulse	2	t		134.0	71.21642684936523	
0	31.991524934768677	pulse	2	t		134.0	72.81633186340332	
0	33.59161400794983	pulse	2	t		134.0	74.41642093658447	
0	35.191555976867676	pulse	2	t		134.0	76.01636290550232	
0	36.783649921417236	pulse	2	t		134.0	77.60845685005188	
0	38.38355088233948	pulse	2	t		134.0	79.20835781097412	
1	39.208125829696655	stim	0		95.0	134.0	80.0329327583313	0.7917940616607666
1	39.99154782295227	pulse	0	t		134.0	80.81635475158691	
1	39.99991989135742	stim	1		181.0	134.0	80.82472681999207	1.508162021636963
1	41.508081912994385	stim	2		1836.0	134.0	82.33288884162903	15.299954891204834
1	41.59162092208862	pulse	2	t		134.0	82.41642785072327	
1	43.191457986831665	pulse	2	t		134.0	84.01626491546631	
1	43.44985890388489	response	2	b		134.0	84.27466583251953	
1	44.79152202606201	pulse	2	t		134.0	85.61632895469666	
1	46.39138388633728	pulse	2	t		134.0	87.21619081497192	
1	47.99152183532715	pulse	2	t		134.0	88.81632876396179	
1	48.86647295951843	response	2	b		134.0	89.69127988815308	
1	49.5914568901062	pulse	2	t		134.0	90.41626381874084	
1	51.191502809524536	pulse	2	t		134.0	92.01630973815918	
1	52.7914719581604	pulse	2	t		134.0	93.61627888679504	
1	53.77480697631836	response	2	b		134.0	94.599613904953	
1	54.38355898857117	pulse	2	t		134.0	95.20836591720581	
1	55.99164390563965	pulse	2	t		134.0	96.81645083427429	
2	56.80803680419922	stim	0		95.0	134.0	97.63284373283386	0.7917070388793945
2	57.59143090248108	pulse	0	t		134.0	98.41623783111572	
2	57.59974384307861	stim	1		181.0	134.0	98.42455077171326	1.5082240104675293
2	57.708096981048584	response	1	b		134.0	98.53290390968323	
2	59.10796785354614	stim	2		2412.0	134.0	99.93277478218079	20.09994411468506
2	59.191442012786865	pulse	2	t		134.0	100.01624894142151	
2	60.79141187667847	pulse	2	t		134.0	101.61621880531311	
2	62.391469955444336	pulse	2	t		134.0	103.21627688407898	
2	63.9914448261261	pulse	2	t		134.0	104.81625175476074	
2	64.3914999961853	response	2	b		134.0	105.21630692481995	
2	65.5914249420166	pulse	2	t		134.0	106.41623187065125	
2	67.19147896766663	pulse	2	t		134.0	108.01628589630127	
2	68.79141092300415	pulse	2	t		134.0	109.6162178516388	
2	69.21650695800781	response	2	b		134.0	110.04131388664246	
2	70.39138889312744	pulse	2	t		134.0	111.21619582176208	
2	71.99144983291626	pulse	2	t		134.0	112.8162567615509	
2	72.50802898406982	response	2	b		134.0	113.33283591270447	
2	73.59138798713684	pulse	2	t		134.0	114.41619491577148	
2	75.19133400917053	pulse	2	t		134.0	116.01614093780518	
