trial_nr	onset	event_type	phase	response	nr_frames	trial_type	onset_abs	duration
0	0.018883943557739258	stim	0		1691.0	even	1.7210979461669922	28.182331085205078
0	24.301402807235718	response	0	escape		even	26.00361680984497	
0	24.801045894622803	response	0	escape		even	26.503259897232056	
