target_times_s,target_times_f,response_times_s,response_times_f,resonse_diff_f
0.5333333333333333,64,0.6984179019927979,84,-20
0.13333333333333333,16,0.27379488945007324,33,-17
0.26666666666666666,32,0.365556001663208,44,-12
2.1333333333333333,256,1.5486860275268555,186,70
0.5333333333333333,64,0.5738880634307861,69,-5
1.0666666666666667,128,0.9990429878234863,120,8
4.266666666666667,512,2.823961019515991,339,173
0.26666666666666666,32,0.4737892150878906,57,-25
1.0666666666666667,128,1.1572539806365967,139,-11
2.1333333333333333,256,1.4321739673614502,172,84
0.26666666666666666,32,0.699070930480957,84,-52
2.1333333333333333,256,1.965714931488037,236,20
4.266666666666667,512,3.3905818462371826,407,105
0.5333333333333333,64,1.2905199527740479,155,-91
0.13333333333333333,16,0.5406670570373535,65,-49
0.26666666666666666,32,0.607234001159668,73,-41
2.1333333333333333,256,1.4987220764160156,180,76
1.0666666666666667,128,1.2489948272705078,150,-22
0.13333333333333333,16,0.5156970024108887,62,-46
4.266666666666667,512,2.7739999294281006,333,179
1.0666666666666667,128,1.3739070892333984,165,-37
0.5333333333333333,64,0.7488348484039307,90,-26
0.5333333333333333,64,0.6822550296783447,82,-18
0.13333333333333333,16,0.16535687446594238,20,-4
2.1333333333333333,256,2.4406001567840576,293,-37
0.13333333333333333,16,0.20720696449279785,25,-9
1.0666666666666667,128,1.0903120040893555,131,-3
4.266666666666667,512,3.707185983657837,445,67
0.13333333333333333,16,0.2990398406982422,36,-20
0.13333333333333333,16,0.22393012046813965,27,-11
1.0666666666666667,128,1.174004077911377,141,-13
0.5333333333333333,64,0.807297945022583,97,-33
4.266666666666667,512,2.890594959259033,347,165
0.26666666666666666,32,0.5237820148468018,63,-31
2.1333333333333333,256,2.2738430500030518,273,-17
2.1333333333333333,256,1.6322929859161377,196,60
4.266666666666667,512,3.6071128845214844,433,79
0.26666666666666666,32,0.5490171909332275,66,-34
0.26666666666666666,32,0.6405820846557617,77,-45
0.13333333333333333,16,0.22391104698181152,27,-11
1.0666666666666667,128,0.9821639060974121,118,10
4.266666666666667,512,3.0406060218811035,365,147
2.1333333333333333,256,2.66550612449646,320,-64
0.5333333333333333,64,0.8404269218444824,101,-37
0.5333333333333333,64,0.5320489406585693,64,0
4.266666666666667,512,3.2403600215911865,389,123
0.26666666666666666,32,0.5240170955657959,63,-31
0.26666666666666666,32,0.5073590278625488,61,-29
2.1333333333333333,256,1.8323171138763428,220,36
0.13333333333333333,16,0.36576008796691895,44,-28
1.0666666666666667,128,0.8822669982910156,106,22
0.5333333333333333,64,0.6821208000183105,82,-18
0.13333333333333333,16,0.29065799713134766,35,-19
0.5333333333333333,64,0.7404708862304688,89,-25
4.266666666666667,512,2.815349817276001,338,174
4.266666666666667,512,3.182206153869629,382,130
2.1333333333333333,256,1.9238619804382324,231,25
0.26666666666666666,32,0.5322880744934082,64,-32
1.0666666666666667,128,0.8653719425201416,104,24
1.0666666666666667,128,0.8738679885864258,105,23
