trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
0	0.13329815864562988	stim	0		119	58.46859002113342	0.9912319183349609
0	1.1245300769805908	stim	1		73	59.459821939468384	0.6081130504608154
0	1.7326431274414062	stim	2		32	60.0679349899292	0.26674699783325195
0	1.9993901252746582	stim	3		60	60.33468198776245	0.5001869201660156
0	2.499577045440674	stim	4		63	60.83486890792847	0.8520610332489014
0	3.0000500679016113	response	4	space		61.335341930389404	
0	3.351638078689575	stim	5		60	61.68692994117737	0.4978640079498291
1	3.8495020866394043	stim	0		120	62.1847939491272	1.0000159740447998
1	4.849518060684204	stim	1		54	63.184809923172	0.44968390464782715
1	5.299201965332031	stim	2		512	63.634493827819824	4.2667951583862305
1	9.565997123718262	stim	3		60	67.90128898620605	0.5001399517059326
1	10.066137075424194	stim	4		79	68.40142893791199	4.368680953979492
1	10.707916975021362	response	4	space		69.04320883750916	
1	14.434818029403687	stim	5		60	72.77010989189148	0.49799394607543945
2	14.932811975479126	stim	0		120	73.26810383796692	0.9999880790710449
2	15.932800054550171	stim	1		68	74.26809191703796	0.5663619041442871
2	16.499161958694458	stim	2		512	74.83445382118225	4.266719102859497
2	20.765881061553955	stim	3		60	79.10117292404175	0.500201940536499
2	21.266083002090454	stim	4		66	79.60137486457825	4.510311126708984
2	21.799499034881592	response	4	space		80.13479089736938	
2	25.77639412879944	stim	5		60	84.11168599128723	0.4979829788208008
3	26.27437710762024	stim	0		120	84.60966897010803	0.9999189376831055
3	27.274296045303345	stim	1		77	85.60958790779114	0.6414859294891357
3	27.91578197479248	stim	2		16	86.25107383728027	0.13340210914611816
3	28.0491840839386	stim	3		60	86.38447594642639	0.5001480579376221
3	28.54933214187622	stim	4		85	86.88462400436401	1.2437210083007812
3	29.241130113601685	response	4	space		87.57642197608948	
3	29.793053150177002	stim	5		60	88.1283450126648	0.49795079231262207
4	30.291003942489624	stim	0		120	88.62629580497742	0.9999160766601562
4	31.29092001914978	stim	1		73	89.62621188163757	0.60813307762146
4	31.89905309677124	stim	2		256	90.23434495925903	2.1333699226379395
