trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
0	0.14155101776123047	stim	0		119	69.47931814193726	0.9913527965545654
0	1.132903814315796	stim	1		63	70.47067093849182	0.5246779918670654
0	1.6575818061828613	stim	2		16	70.99534893035889	0.13341712951660156
0	1.790998935699463	stim	3		60	71.12876605987549	0.5001940727233887
0	2.2911930084228516	stim	4		81	71.62896013259888	0.8936970233917236
0	2.9498958587646484	response	4	space		72.28766298294067	
0	3.184890031814575	stim	5		60	72.5226571559906	0.497999906539917
1	3.682889938354492	stim	0		120	73.02065706253052	0.9999840259552002
1	4.682873964309692	stim	1		66	74.02064108848572	0.549752950668335
1	5.232626914978027	stim	2		512	74.57039403915405	4.26671290397644
1	9.499339818954468	stim	3		60	78.8371069431305	0.5001950263977051
1	9.999534845352173	stim	4		66	79.3373019695282	2.968647003173828
1	10.532989025115967	response	4	space		79.87075614929199	
1	12.968181848526001	stim	5		60	82.30594897270203	0.4979841709136963
2	13.466166019439697	stim	0		120	82.80393314361572	1.0000128746032715
2	14.466178894042969	stim	1		57	83.803946018219	0.47466611862182617
2	14.940845012664795	stim	2		32	84.27861213684082	0.26677584648132324
2	15.207620859146118	stim	3		60	84.54538798332214	0.5001721382141113
2	15.70779299736023	stim	4		56	85.04556012153625	0.9104008674621582
2	16.15788984298706	response	4	space		85.49565696716309	
2	16.618193864822388	stim	5		60	85.95596098899841	0.4979419708251953
3	17.116135835647583	stim	0		120	86.45390295982361	0.9999990463256836
3	18.116134881973267	stim	1		54	87.45390200614929	0.4497230052947998
3	18.565857887268066	stim	2		256	87.90362501144409	2.133449077606201
3	20.699306964874268	stim	3		60	90.0370740890503	0.5001540184020996
3	21.199460983276367	stim	4		55	90.53722810745239	2.0853428840637207
3	21.64124083518982	response	4	space		90.97900795936584	
3	23.284803867340088	stim	5		60	92.62257099151611	0.4979989528656006
4	23.78280282020569	stim	0		120	93.12056994438171	0.9999949932098389
4	24.782797813415527	stim	1		58	94.12056493759155	0.48305201530456543
4	25.265849828720093	stim	2		16	94.60361695289612	0.13338804244995117
4	25.399237871170044	stim	3		60	94.73700499534607	0.5001890659332275
4	25.89942693710327	stim	4		66	95.2371940612793	1.343695878982544
4	26.432868003845215	response	4	space		95.77063512802124	
4	27.243122816085815	stim	5		60	96.58088994026184	0.49788403511047363
5	27.74100685119629	stim	0		120	97.07877397537231	1.000020980834961
5	28.74102783203125	stim	1		59	98.07879495620728	0.4914121627807617
5	29.23243999481201	stim	2		16	98.57020711898804	0.13343596458435059
5	29.365875959396362	stim	3		60	98.70364308357239	0.5001800060272217
5	29.866055965423584	stim	4		78	99.20382308959961	1.3520009517669678
5	30.499495029449463	response	4	space		99.83726215362549	
5	31.21805691719055	stim	5		60	100.55582404136658	0.4979979991912842
6	31.716054916381836	stim	0		120	101.05382204055786	1.0000090599060059
6	32.71606397628784	stim	1		64	102.05383110046387	0.5330400466918945
6	33.249104022979736	stim	2		512	102.58687114715576	4.266748905181885
6	37.51585292816162	stim	3		60	106.85362005233765	0.5002450942993164
6	38.01609802246094	stim	4		64	107.35386514663696	3.6685609817504883
6	38.532856941223145	response	4	space		107.87062406539917	
6	41.684659004211426	stim	5		60	111.02242612838745	0.49802684783935547
7	42.18268585205078	stim	0		120	111.5204529762268	0.9999561309814453
7	43.18264198303223	stim	1		57	112.52040910720825	0.47471094131469727
7	43.657352924346924	stim	2		128	112.99512004852295	1.0667788982391357
7	44.72413182258606	stim	3		60	114.06189894676208	0.5001070499420166
7	45.224238872528076	stim	4		87	114.5620059967041	2.8603620529174805
7	45.932766914367676	response	4	space		115.2705340385437	
7	48.08460092544556	stim	5		60	117.42236804962158	0.49800801277160645
8	48.58260893821716	stim	0		120	117.92037606239319	1.00006103515625
8	49.58266997337341	stim	1		77	118.92043709754944	0.6413140296936035
8	50.22398400306702	stim	2		64	119.56175112724304	0.5338008403778076
8	50.757784843444824	stim	3		60	120.09555196762085	0.4998171329498291
8	51.25760197639465	stim	4		73	120.59536910057068	1.5270118713378906
8	51.84939789772034	response	4	space		121.18716502189636	
8	52.784613847732544	stim	5		60	122.12238097190857	0.497974157333374
9	53.28258800506592	stim	0		120	122.62035512924194	1.0000228881835938
9	54.28261089324951	stim	1		55	123.62037801742554	0.45799803733825684
9	54.74060893058777	stim	2		128	124.0783760547638	1.0667359828948975
9	55.807344913482666	stim	3		60	125.14511203765869	0.5002028942108154
9	56.30754780769348	stim	4		103	125.6453149318695	2.2667770385742188
9	57.14934682846069	response	4	space		126.48711395263672	
9	58.5743248462677	stim	5		60	127.91209197044373	0.4999210834503174
10	59.07424592971802	stim	0		120	128.41201305389404	0.9999558925628662
10	60.074201822280884	stim	1		74	129.4119689464569	0.616347074508667
10	60.69054889678955	stim	2		64	130.02831602096558	0.5334370136260986
10	61.22398591041565	stim	3		60	130.56175303459167	0.5002059936523438
10	61.72419190406799	stim	4		54	131.06195902824402	0.7769970893859863
10	62.157634019851685	response	4	space		131.4954011440277	
10	62.50118899345398	stim	5		60	131.83895611763	0.4980299472808838
11	62.99921894073486	stim	0		120	132.3369860649109	0.9999790191650391
11	63.9991979598999	stim	1		62	133.33696508407593	0.5163719654083252
11	64.51556992530823	stim	2		512	133.85333704948425	4.26673698425293
11	68.78230690956116	stim	3		60	138.12007403373718	0.500175952911377
11	69.28248286247253	stim	4		60	138.62024998664856	2.693596124649048
11	69.75780081748962	response	4	space		139.09556794166565	
11	71.97607898712158	stim	5		60	141.3138461112976	0.49805402755737305
