trial_nr	onset	event_type	phase	response	nr_frames	subject	block	signal_present	signal_orientation	signal_opacity	correct	miniblock	blinkDuringTrial	RT	trial	confidence	key	RT_   0	onset_abs	duration
0	0.013134002685546875	blockStart	0	-1	293	97	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0			5.628549814224243	4.88210916519165
0	4.895243167877197	baseline_window	1	-1	91	97	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0			10.510658979415894	1.516075849533081
0	6.411319017410278	stimulus_window	2	-1	12	97	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0			12.026734828948975	0.20008301734924316
0	6.6114020347595215	response_window	3	-1	72	97	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0			12.226817846298218	1.1996731758117676
0	7.811075210571289	feedback_window	4	-1	18	97	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0			13.426491022109985	0.3000478744506836
0	8.111123085021973	ITI_window	5	-1	38	97	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0			13.726538896560669	0.6328020095825195
1	8.743925094604492	blockStart	0	-1	0	97	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0			14.359340906143188	0.0037369728088378906
1	8.74766206741333	baseline_window	1	-1	30	97	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0			14.363077878952026	0.4963071346282959
1	9.243969202041626	stimulus_window	2	-1	12	97	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0			14.859385013580322	0.1998918056488037
1	9.44386100769043	response_window	3	-1	59	97	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0			15.059276819229126	0.9826350212097168
1	10.399785995483398	response	3	0	59						1.0			1.1558167934417725		1.0	a		16.015201807022095	
1	10.426496028900146	feedback_window	4	0	19	97	0.0	0.0	0.0	0.0	1.0	0.0	0.0		1.0	1.0		1.1558167934417725	16.041911840438843	0.3168301582336426
1	10.743326187133789	ITI_window	5	0	46	97	0.0	0.0	0.0	0.0	1.0	0.0	0.0		1.0	1.0		1.1558167934417725	16.358741998672485	0.7662739753723145
2	11.509600162506104	blockStart	0	-1	0	97	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	2.0	-1.0			17.1250159740448	0.0041730403900146484
2	11.513773202896118	baseline_window	1	-1	30	97	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	2.0	-1.0			17.129189014434814	0.495715856552124
2	12.009489059448242	stimulus_window	2	-1	12	97	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	2.0	-1.0			17.62490487098694	0.199937105178833
2	12.209426164627075	response_window	3	-1	71	97	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	2.0	-1.0			17.82484197616577	1.183048963546753
2	13.365196228027344	response	3	1	71						0.0			1.3557071685791016		1.0	l		18.98061203956604	
2	13.392475128173828	feedback_window	4	1	19	97	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.3557071685791016	2.0	1.0			19.007890939712524	0.31662988662719727
2	13.709105014801025	ITI_window	5	1	49	97	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.3557071685791016	2.0	1.0			19.32452082633972	0.8160831928253174
3	14.525188207626343	blockStart	0	-1	0	97	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	3.0	-1.0			20.14060401916504	0.0036118030548095703
3	14.528800010681152	baseline_window	1	-1	29	97	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	3.0	-1.0			20.14421582221985	0.47978711128234863
3	15.008587121963501	stimulus_window	2	-1	12	97	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	3.0	-1.0			20.624002933502197	0.1999070644378662
3	15.208494186401367	response_window	3	-1	58	97	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	3.0	-1.0			20.823909997940063	0.9660689830780029
3	16.14608120918274	response	3	1	58						0.0			1.1374940872192383		0.0	k		21.761497020721436	
3	16.17456316947937	feedback_window	4	1	19	97	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.1374940872192383	3.0	0.0			21.789978981018066	0.316925048828125
3	16.491488218307495	ITI_window	5	1	38	97	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.1374940872192383	3.0	0.0			22.10690402984619	0.6327488422393799
4	17.124237060546875	blockStart	0	-1	0	97	0.0	1.0	0.0	0.010000000000000002	-1.0	0.0	0.0	-1.0	4.0	-1.0			22.73965287208557	0.004143953323364258
4	17.12838101387024	baseline_window	1	-1	30	97	0.0	1.0	0.0	0.010000000000000002	-1.0	0.0	0.0	-1.0	4.0	-1.0			22.743796825408936	0.4960751533508301
4	17.62445616722107	stimulus_window	2	-1	12	97	0.0	1.0	0.0	0.010000000000000002	-1.0	0.0	0.0	-1.0	4.0	-1.0			23.239871978759766	0.19986796379089355
4	17.824324131011963	response_window	3	-1	53	97	0.0	1.0	0.0	0.010000000000000002	-1.0	0.0	0.0	-1.0	4.0	-1.0			23.43973994255066	0.8831028938293457
4	18.680110216140747	response	3	1	53						1.0			1.0556540489196777		0.0	k		24.295526027679443	
4	18.70742702484131	feedback_window	4	1	19	97	0.0	1.0	0.0	0.010000000000000002	1.0	0.0	0.0	1.0556540489196777	4.0	0.0			24.322842836380005	0.316601037979126
4	19.024028062820435	ITI_window	5	1	38	97	0.0	1.0	0.0	0.010000000000000002	1.0	0.0	0.0	1.0556540489196777	4.0	0.0			24.63944387435913	0.6327869892120361
5	19.65681505203247	blockStart	0	-1	0	97	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	5.0	-1.0			25.272230863571167	0.0039441585540771484
5	19.660759210586548	baseline_window	1	-1	30	97	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	5.0	-1.0			25.276175022125244	0.4960949420928955
5	20.156854152679443	stimulus_window	2	-1	12	97	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	5.0	-1.0			25.77226996421814	0.20013904571533203
5	20.356993198394775	response_window	3	-1	61	97	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	5.0	-1.0			25.97240900993347	1.0160958766937256
5	21.345291137695312	response	3	0	61						1.0			1.1884369850158691		1.0	a		26.96070694923401	
5	21.3730890750885	feedback_window	4	0	19	97	0.0	0.0	1.0	0.0	1.0	0.0	0.0		5.0	1.0		1.1884369850158691	26.988504886627197	0.31644296646118164
5	21.689532041549683	ITI_window	5	0	51	97	0.0	0.0	1.0	0.0	1.0	0.0	0.0		5.0	1.0		1.1884369850158691	27.30494785308838	0.8499109745025635
