trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
0	0.14994001388549805	stim	0		119	69.90340518951416	0.9912559986114502
0	1.1411960124969482	stim	1		62	70.89466118812561	0.5163719654083252
0	1.6575679779052734	stim	2		64	71.41103315353394	0.533419132232666
0	2.1909871101379395	stim	3		60	71.9444522857666	0.5001769065856934
0	2.691164016723633	stim	4		73	72.4446291923523	1.3937129974365234
0	3.283154010772705	response	4	space		73.03661918640137	
0	4.084877014160156	stim	5		60	73.83834218978882	0.49803996086120605
1	4.582916975021362	stim	0		120	74.33638215065002	0.999932050704956
1	5.582849025726318	stim	1		65	75.33631420135498	0.5413949489593506
1	6.124243974685669	stim	2		16	75.87770915031433	0.1336359977722168
1	6.257879972457886	stim	3		60	76.01134514808655	0.4999401569366455
1	6.757820129394531	stim	4		83	76.5112853050232	0.8251299858093262
1	7.432974100112915	response	4	space		77.18643927574158	
1	7.582950115203857	stim	5		60	77.33641529083252	0.49990391731262207
2	8.08285403251648	stim	0		120	77.83631920814514	0.9999959468841553
2	9.082849979400635	stim	1		64	78.8363151550293	0.533048152923584
2	9.615898132324219	stim	2		256	79.36936330795288	2.1334288120269775
2	11.749326944351196	stim	3		60	81.50279211997986	0.5001671314239502
2	12.249494075775146	stim	4		49	82.00295925140381	2.002018928527832
2	12.641225099563599	response	4	space		82.39469027519226	
2	14.251513004302979	stim	5		60	84.00497817993164	0.49796390533447266
3	14.749476909637451	stim	0		120	84.50294208526611	1.0000231266021729
3	15.749500036239624	stim	1		73	85.50296521186829	0.6079928874969482
3	16.357492923736572	stim	2		128	86.11095809936523	1.0667121410369873
3	17.42420506477356	stim	3		60	87.17767024040222	0.5001890659332275
3	17.924394130706787	stim	4		107	87.67785930633545	2.260462999343872
3	18.79961609840393	response	4	space		88.55308127403259	
3	20.18485713005066	stim	5		60	89.93832230567932	0.49791383743286133
4	20.68277096748352	stim	0		120	90.43623614311218	0.9999959468841553
4	21.682766914367676	stim	1		71	91.43623208999634	0.5913290977478027
4	22.27409601211548	stim	2		512	92.02756118774414	4.266726016998291
4	26.54082202911377	stim	3		60	96.29428720474243	0.5001780986785889
4	27.04100012779236	stim	4		11	96.79446530342102	3.1686649322509766
4	27.116189002990723	response	4	space		96.86965417861938	
4	30.209665060043335	stim	5		60	99.963130235672	0.49802589416503906
5	30.707690954208374	stim	0		120	100.46115612983704	0.9999351501464844
5	31.70762610435486	stim	1		56	101.46109127998352	0.46643495559692383
5	32.17406105995178	stim	2		64	101.92752623558044	0.5333950519561768
5	32.70745611190796	stim	3		60	102.46092128753662	0.5001869201660156
5	33.207643032073975	stim	4		87	102.96110820770264	1.502100944519043
5	33.91618299484253	response	4	space		103.66964817047119	
5	34.70974397659302	stim	5		60	104.46320915222168	0.49787402153015137
6	35.20761799812317	stim	0		120	104.96108317375183	0.999993085861206
6	36.207611083984375	stim	1		71	105.96107625961304	0.5913870334625244
6	36.7989981174469	stim	2		32	106.55246329307556	0.2667880058288574
6	37.06578612327576	stim	3		60	106.81925129890442	0.500194787979126
6	37.56598091125488	stim	4		136	107.31944608688354	1.8020131587982178
6	38.68279790878296	response	4	space		108.43626308441162	
6	39.3679940700531	stim	5		60	109.12145924568176	0.4979829788208008
7	39.8659770488739	stim	0		120	109.61944222450256	0.9999599456787109
7	40.86593699455261	stim	1		54	110.61940217018127	0.4497220516204834
7	41.315659046173096	stim	2		128	111.06912422180176	1.066744089126587
7	42.38240313529968	stim	3		60	112.13586831092834	0.5001969337463379
7	42.88260006904602	stim	4		95	112.63606524467468	2.0187079906463623
7	43.65766000747681	response	4	space		113.41112518310547	
7	44.90130805969238	stim	5		60	114.65477323532104	0.4979829788208008
8	45.399291038513184	stim	0		120	115.15275621414185	0.9999830722808838
8	46.39927411079407	stim	1		66	116.15273928642273	0.5497219562530518
8	46.94899606704712	stim	2		64	116.70246124267578	0.5334100723266602
8	47.48240613937378	stim	3		60	117.23587131500244	0.5001909732818604
8	47.98259711265564	stim	4		92	117.7360622882843	1.4602718353271484
8	48.73268413543701	response	4	space		118.48614931106567	
8	49.44286894798279	stim	5		60	119.19633412361145	0.49796199798583984
9	49.94083094596863	stim	0		120	119.69429612159729	1.0000131130218506
9	50.94084405899048	stim	1		56	120.69430923461914	0.46637701988220215
9	51.40722107887268	stim	2		16	121.16068625450134	0.1334078311920166
9	51.5406289100647	stim	3		60	121.29409408569336	0.500244140625
9	52.0408730506897	stim	4		79	121.79433822631836	0.8936879634857178
9	52.68259596824646	response	4	space		122.43606114387512	
9	52.934561014175415	stim	5		60	122.68802618980408	0.4979419708251953
10	53.43250298500061	stim	0		120	123.18596816062927	1.0000200271606445
10	54.432523012161255	stim	1		70	124.18598818778992	0.5830559730529785
10	55.01557898521423	stim	2		128	124.7690441608429	1.0667600631713867
10	56.08233904838562	stim	3		60	125.83580422401428	0.5001659393310547
10	56.582504987716675	stim	4		77	126.33597016334534	1.5769569873809814
10	57.207557916641235	response	4	space		126.9610230922699	
10	58.159461975097656	stim	5		60	127.91292715072632	0.49796199798583984
11	58.657423973083496	stim	0		120	128.41088914871216	1.000028133392334
11	59.65745210647583	stim	1		72	129.4109172821045	0.5997328758239746
11	60.257184982299805	stim	2		512	130.01065015792847	4.266674995422363
11	64.52385997772217	stim	3		60	134.27732515335083	0.5002059936523438
11	65.02406597137451	stim	4		63	134.77753114700317	3.0271480083465576
11	65.53258991241455	response	4	space		135.2860550880432	
11	68.05121397972107	stim	5		60	137.80467915534973	0.49786901473999023
12	68.54908299446106	stim	0		120	138.30254817008972	0.9999871253967285
12	69.54907011985779	stim	1		73	139.30253529548645	0.6080219745635986
12	70.15709209442139	stim	2		16	139.91055727005005	0.13343000411987305
12	70.29052209854126	stim	3		60	140.04398727416992	0.5001540184020996
12	70.79067611694336	stim	4		95	140.54414129257202	0.9853818416595459
12	71.56591296195984	response	4	space		141.3193781375885	
12	71.7760579586029	stim	5		60	141.52952313423157	0.4979281425476074
13	72.27398610115051	stim	0		120	142.02745127677917	1.0000078678131104
13	73.27399396896362	stim	1		76	143.02745914459229	0.6330420970916748
13	73.9070360660553	stim	2		64	143.66050124168396	0.5336010456085205
13	74.44063711166382	stim	3		60	144.19410228729248	0.5000228881835938
13	74.94065999984741	stim	4		75	144.69412517547607	0.985335111618042
13	75.5491111278534	response	4	space		145.30257630348206	
13	75.92599511146545	stim	5		60	145.67946028709412	0.49796581268310547
14	76.42396092414856	stim	0		120	146.17742609977722	0.9999620914459229
14	77.42392301559448	stim	1		76	147.17738819122314	0.6331501007080078
14	78.05707311630249	stim	2		512	147.81053829193115	4.266664981842041
14	82.32373809814453	stim	3		60	152.0772032737732	0.500208854675293
14	82.82394695281982	stim	4		39	152.5774121284485	4.185326099395752
14	83.13242506980896	response	4	space		152.88589024543762	
14	87.00927305221558	stim	5		60	156.76273822784424	0.4979538917541504
15	87.50722694396973	stim	0		120	157.2606921195984	1.0000011920928955
15	88.50722813606262	stim	1		78	158.26069331169128	0.6497509479522705
15	89.15697908401489	stim	2		256	158.91044425964355	2.1333630084991455
15	91.29034209251404	stim	3		60	161.0438072681427	0.5001740455627441
15	91.79051613807678	stim	4		50	161.54398131370544	2.3437039852142334
15	92.19062209129333	response	4	space		161.944087266922	
15	94.13422012329102	stim	5		60	163.88768529891968	0.4980018138885498
16	94.63222193717957	stim	0		120	164.38568711280823	0.9999980926513672
16	95.63222002983093	stim	1		62	165.3856852054596	0.5163819789886475
16	96.14860200881958	stim	2		512	165.90206718444824	4.26671290397644
16	100.41531491279602	stim	3		60	170.16878008842468	0.5001871585845947
