trial 00,trial 01,trial 02,trial 03,trial 04,trial 05,trial 06,trial 07,trial 08,trial 09,trial 10,trial 11,trial 12,trial 13,trial 14,trial 15,trial 16,trial 17,trial 18,trial 19,trial 20,trial 21,trial 22,trial 23,trial 24,trial 25,trial 26,trial 27,trial 28,trial 29,trial 30,trial 31,trial 32,trial 33,trial 34,trial 35,trial 36,trial 37,trial 38,trial 39,trial 40,trial 41,trial 42,trial 43,trial 44,trial 45,trial 46,trial 47,trial 48,trial 49,trial 50,trial 51,trial 52,trial 53,trial 54,trial 55,trial 56,trial 57,trial 58,trial 59,trial 60,trial 61,trial 62,trial 63,trial 64,trial 65,trial 66,trial 67,trial 68,trial 69,trial 70,trial 71,trial 72,trial 73,trial 74,trial 75,trial 76,trial 77,trial 78
60.221096992492676,64.17132782936096,68.12147879600525,72.0710678100586,76.02937483787537,79.97929501533508,83.92935085296631,87.87927484512329,91.82942986488342,95.77923798561096,99.72930097579956,103.67926692962646,107.63750195503235,111.58748388290405,115.53745698928833,119.4876458644867,123.43790292739868,127.3873360157013,131.3373818397522,135.2875518798828,139.24577283859253,143.1956799030304,147.14576196670532,151.09577178955078,155.04571390151978,158.99563097953796,162.94568181037903,166.89558386802673,170.85405683517456,174.80398082733154,178.75433492660522,182.70374393463135,186.6538028717041,190.60380101203918,194.55377101898193,198.50379085540771,202.45379996299744,206.41207790374756,210.3620069026947,214.3119728565216,218.26200485229492,222.21198296546936,226.16206288337708,230.11198496818542,234.0623698234558,238.0201609134674,241.9702548980713,245.920236825943,249.87021589279175,253.82015991210938,257.7701418399811,261.7201118469238,265.67014384269714,269.6284248828888,273.5783669948578,277.52844882011414,281.47835302352905,285.428386926651,289.37877583503723,293.3282859325409,297.2783348560333,301.23659801483154,305.18657898902893,309.1365189552307,313.0866148471832,317.03670597076416,320.98652482032776,324.9364368915558,328.88645482063293,332.8448438644409,336.7947299480438,340.7447888851166,344.695188999176,348.6446018218994,352.59461998939514,356.5446939468384,360.49462699890137,364.4529459476471,368.4029748439789
60.22947692871094,64.17967987060547,68.12992000579834,72.07927989959717,76.03765296936035,79.9877519607544,83.93765687942505,87.88766193389893,91.83776783943176,95.78765296936035,99.73753881454468,103.68760180473328,107.645831823349,111.59596681594849,115.54585289955139,119.49596500396729,123.44624400138855,127.39563083648682,131.34583187103271,135.2957558631897,139.2540988922119,143.20406293869019,147.15402483940125,151.1039628982544,155.0540509223938,159.0040419101715,162.95393681526184,166.90395188331604,170.86221599578857,174.8123219013214,178.76261496543884,182.7120909690857,186.66214299201965,190.6121518611908,194.5621738433838,198.5121579170227,202.46204686164856,206.42046880722046,210.3704319000244,214.3204529285431,218.27041792869568,222.22041392326355,226.1703429222107,230.1203498840332,234.070702791214,238.02849888801575,241.97863578796387,245.92853689193726,249.87860989570618,253.82853984832764,257.7784538269043,261.7284908294678,265.6784520149231,269.6368319988251,273.5867199897766,277.53673100471497,281.48679184913635,285.4367709159851,289.38715982437134,293.33658385276794,297.2866380214691,301.24500489234924,305.19491481781006,309.1449627876282,313.09491086006165,317.0448679924011,320.9948618412018,324.94480895996094,328.89479398727417,332.85312581062317,336.80307698249817,340.7530918121338,344.70346689224243,348.6529288291931,352.6030068397522,356.55296087265015,360.50305795669556,364.461306810379,368.41131687164307
60.237756967544556,64.18797087669373,68.1382429599762,72.08771586418152,76.04598999023438,79.99608182907104,83.94604682922363,87.89605593681335,91.84606599807739,95.79590201377869,99.74587082862854,103.69585585594177,107.65422892570496,111.60433197021484,115.55430889129639,119.50431489944458,123.45454287528992,127.40408396720886,131.35406589508057,135.30409383773804,139.26240181922913,143.21237897872925,147.16237497329712,151.1124529838562,155.0623438358307,159.01246285438538,162.96234583854675,166.91223883628845,170.87052583694458,174.82061195373535,178.77098393440247,182.72034096717834,186.6705038547516,190.62046194076538,194.57045888900757,198.52038884162903,202.4704098701477,206.42873787879944,210.37875890731812,214.32865285873413,218.27867984771729,222.22862792015076,226.17868399620056,230.12866592407227,234.0790798664093,238.03684496879578,241.9868938922882,245.93688297271729,249.88680696487427,253.83689880371094,257.78685998916626,261.73696088790894,265.68675088882446,269.6450819969177,273.59506392478943,277.5452117919922,281.4950408935547,285.4451107978821,289.3954029083252,293.34494280815125,297.29492592811584,301.253319978714,305.2033829689026,309.1532139778137,313.1032598018646,317.05319690704346,321.0032479763031,324.9531488418579,328.9031729698181,332.86142086982727,336.8114240169525,340.76148200035095,344.7119879722595,348.66180992126465,352.6114149093628,356.561381816864,360.5113458633423,364.4696159362793,368.41960096359253
60.24608778953552,64.1963210105896,68.1465048789978,72.09609699249268,76.05438089370728,80.00434589385986,83.95432996749878,87.90430784225464,91.85429286956787,95.80435585975647,99.75429797172546,103.7042829990387,107.66253280639648,111.61250400543213,115.5625569820404,119.51270985603333,123.46294283866882,127.41231894493103,131.36241388320923,135.31245279312134,139.27075695991516,143.2207808494568,147.170658826828,151.12065887451172,155.07078289985657,159.02062797546387,162.9706699848175,166.92051887512207,170.8788869380951,174.82904291152954,178.77937698364258,182.72874093055725,186.67880082130432,190.62888479232788,194.57880783081055,198.52879285812378,202.47879099845886,206.4370629787445,210.38711380958557,214.336984872818,218.28698301315308,222.23700380325317,226.18705797195435,230.13703083992004,234.08739399909973,238.04513788223267,241.9952838420868,245.94516801834106,249.89519596099854,253.8452069759369,257.79510593414307,261.74513483047485,265.6951057910919,269.65339183807373,273.6035268306732,277.5534358024597,281.5033538341522,285.45333099365234,289.403776884079,293.35319995880127,297.30336689949036,301.261559009552,305.2116208076477,309.1616280078888,313.1116638183594,317.0615978240967,321.0115649700165,324.9614918231964,328.91147685050964,332.8698389530182,336.8197338581085,340.76981687545776,344.7201509475708,348.66957998275757,352.61966586112976,356.56966400146484,360.51963901519775,364.478031873703,368.42813181877136
60.254475831985474,64.20468091964722,68.15494799613953,72.10430598258972,76.06267189979553,80.01277995109558,83.96264386177063,87.91260194778442,91.86276698112488,95.81262302398682,99.76255798339844,103.71257281303406,107.67083191871643,111.62095093727112,115.57089495658875,119.52096700668335,123.47128295898438,127.42065691947937,131.37077379226685,135.32076501846313,139.2791018486023,143.22903490066528,147.17902398109436,151.12904500961304,155.0789978504181,159.0289649963379,162.97889280319214,166.92899799346924,170.88723492622375,174.83732891082764,178.78766679763794,182.73704290390015,186.68716597557068,190.63708686828613,194.58726000785828,198.53718090057373,202.4871039390564,206.44537591934204,210.3953719139099,214.34528589248657,218.29547381401062,222.24543499946594,226.19538187980652,230.1453719139099,234.09571599960327,238.0535500049591,242.0035388469696,245.9535939693451,249.9034559726715,253.85349893569946,257.80341386795044,261.7534899711609,265.70347595214844,269.6618068218231,273.61178493499756,277.56178879737854,281.5116639137268,285.46181893348694,289.4120798110962,293.3616199493408,297.31154584884644,301.26990699768066,305.21995997428894,309.1699249744415,313.11985898017883,317.06987500190735,321.0198338031769,324.9698188304901,328.91978788375854,332.87811398506165,336.8281219005585,340.7780818939209,344.72846698760986,348.6779270172119,352.6280698776245,356.57806181907654,360.528028011322,364.48630595207214,368.43633580207825
60.26270890235901,64.21297788619995,68.16325998306274,72.11271095275879,76.07100987434387,80.02107095718384,83.97098088264465,87.92107486724854,91.87106680870056,95.82093596458435,99.77086281776428,103.72088885307312,107.67925381660461,111.62932300567627,115.57932901382446,119.52931499481201,123.47957491874695,127.42918586730957,131.37916493415833,135.3290979862213,139.28742599487305,143.23736596107483,147.18741393089294,151.13733887672424,155.08737182617188,159.03728079795837,162.98721194267273,166.93719100952148,170.89549899101257,174.84568285942078,178.79602193832397,182.74541878700256,186.69548392295837,190.64547395706177,194.59545588493347,198.54544281959534,202.49550080299377,206.45375299453735,210.40370082855225,214.35375094413757,218.30367493629456,222.2536699771881,226.20374083518982,230.15370297431946,234.1041419506073,238.06187796592712,242.01190900802612,245.96191000938416,249.9119348526001,253.86183094978333,257.811803817749,261.7619619369507,265.7118740081787,269.6700859069824,273.62009382247925,277.57008600234985,281.5201139450073,285.4700689315796,289.42046189308167,293.36986088752747,297.3198869228363,301.27835988998413,305.22838282585144,309.1782968044281,313.12822580337524,317.0782108306885,321.0281720161438,324.9782099723816,328.92818689346313,332.8864448070526,336.83639693260193,340.78646993637085,344.73676586151123,348.6868588924408,352.63639283180237,356.58637595176697,360.5363519191742,364.4946098327637,368.44460582733154
60.27107501029968,64.22129487991333,68.17155289649963,72.12104296684265,76.07933402061462,80.02948880195618,83.97932600975037,87.92931580543518,91.87930679321289,95.82926893234253,99.77922797203064,103.72939896583557,107.6874828338623,111.63742685317993,115.58764481544495,119.53758883476257,123.48796892166138,127.43733882904053,131.38745379447937,135.33750796318054,139.2958128452301,143.24573183059692,147.1957049369812,151.14569282531738,155.0957419872284,159.04561686515808,162.99561500549316,166.94555401802063,170.90390586853027,174.85408091545105,178.8043429851532,182.7538080215454,186.70381784439087,190.6538119316101,194.60377883911133,198.55386900901794,202.50377988815308,206.4620189666748,210.41211581230164,214.36199188232422,218.31200695037842,222.26200485229492,226.2119619846344,230.16202402114868,234.11237597465515,238.07018494606018,242.02022886276245,245.97024488449097,249.92021584510803,253.87023496627808,257.82013487815857,261.77012491226196,265.7201108932495,269.6784098148346,273.6283128261566,277.57846093177795,281.52832984924316,285.4783937931061,289.4287328720093,293.3781929016113,297.3282539844513,301.286593914032,305.236576795578,309.1865608692169,313.1366558074951,317.08658480644226,321.03655791282654,324.9865999221802,328.9364290237427,332.894770860672,336.84477281570435,340.7947769165039,344.74519896507263,348.6946129798889,352.64466094970703,356.59475588798523,360.5446319580078,364.5029628276825,368.45301699638367
60.27936100959778,64.22970390319824,68.17985987663269,72.12935400009155,76.08771395683289,80.03766989707947,83.98772692680359,87.93761491775513,91.88774490356445,95.83763098716736,99.78754091262817,103.73754501342773,107.69581389427185,111.64596796035767,115.59586501121521,119.54598593711853,123.49624681472778,127.44566679000854,131.3957769870758,135.345782995224,139.3040509223938,143.25404500961304,147.20402193069458,151.15394687652588,155.10395979881287,159.05399584770203,163.00393891334534,166.95401000976562,170.91221690177917,174.86229991912842,178.81268286705017,182.76208591461182,186.71216988563538,190.66221380233765,194.61212587356567,198.56208491325378,202.51210284233093,206.47046494483948,210.42037987709045,214.37034797668457,218.3204607963562,222.27042293548584,226.22036790847778,230.1703588962555,234.12074089050293,238.07851600646973,242.02853894233704,245.97854495048523,249.92852592468262,253.8784818649292,257.82851696014404,261.778470993042,265.72841691970825,269.6868028640747,273.63671684265137,277.58674788475037,281.53671288490295,285.4868760108948,289.4371099472046,293.38649582862854,297.3366320133209,301.294921875,305.2449779510498,309.19487500190735,313.14487290382385,317.0948498249054,321.0448348522186,324.99485898017883,328.94483280181885,332.90315985679626,336.8531060218811,340.80309987068176,344.7534408569336,348.7035138607025,352.6530969142914,356.6029849052429,360.5529899597168,364.5112500190735,368.46129393577576
60.287765979766846,64.23790192604065,68.18836379051208,72.13774991035461,76.09601879119873,80.04606986045837,83.99593997001648,87.94607996940613,91.89596199989319,95.84591388702393,99.79589986801147,103.74588584899902,107.70422601699829,111.65426993370056,115.60415601730347,119.55430698394775,123.50461387634277,127.45399785041809,131.40410590171814,135.35412883758545,139.312481880188,143.26241993904114,147.21230387687683,151.16240000724792,155.11234879493713,159.06235790252686,163.01228499412537,166.96230697631836,170.92060494422913,174.8706488609314,178.82101488113403,182.77052879333496,186.72048783302307,190.67046880722046,194.62044095993042,198.57045984268188,202.52048802375793,206.47869682312012,210.42874383926392,214.37867498397827,218.32867693901062,222.27879095077515,226.2286229133606,230.17882680892944,234.12910079956055,238.08684182167053,242.03689098358154,245.98694396018982,249.93684697151184,253.88682293891907,257.83681201934814,261.7869119644165,265.73684096336365,269.69506788253784,273.6450469493866,277.5950779914856,281.54513001441956,285.4950909614563,289.44544887542725,293.39488697052,297.3449008464813,301.3034019470215,305.25325894355774,309.2033038139343,313.15317583084106,317.103276014328,321.05313897132874,325.00319600105286,328.9531488418579,332.91151189804077,336.86149883270264,340.81148982048035,344.76176381111145,348.71130299568176,352.66141390800476,356.61133098602295,360.56134486198425,364.5197207927704,368.4695818424225
60.296079874038696,64.24634194374084,68.19647288322449,72.1459608078003,76.10432291030884,80.0543098449707,84.00433492660522,87.95425391197205,91.90425896644592,95.85430097579956,99.80432081222534,103.75425791740417,107.71245980262756,111.6624858379364,115.61246991157532,119.5626609325409,123.51292395591736,127.46246385574341,131.41248893737793,135.36243295669556,139.320720911026,143.27064490318298,147.22074699401855,151.17060089111328,155.1206419467926,159.07073497772217,163.02062797546387,166.9705309867859,170.9289128780365,174.87901401519775,178.82938885688782,182.77873992919922,186.72890090942383,190.67880702018738,194.62878799438477,198.5788218975067,202.52879691123962,206.48706579208374,210.43703484535217,214.38706398010254,218.33702492713928,222.2870008945465,226.23700284957886,230.18706488609314,234.1374168395996,238.09519600868225,242.0452950000763,245.99526381492615,249.94523692131042,253.89514183998108,257.84515380859375,261.79511189460754,265.7451009750366,269.70338201522827,273.65334582328796,277.6034789085388,281.55337381362915,285.5033688545227,289.45376992225647,293.40319299697876,297.35327982902527,301.3115658760071,305.2615988254547,309.21153688430786,313.1616139411926,317.1115598678589,321.0614860057831,325.0115988254547,328.96143984794617,332.91981291770935,336.8697588443756,340.8198139667511,344.77021384239197,348.7196719646454,352.66961884498596,356.6196618080139,360.56967091560364,364.52792382240295,368.47805285453796
