trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_dur	oneOverF_texture_path	onset_abs	duration
dummy	0.125	stim	0		0	dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	58.13875603675842	0.003206968307495117
dummy	0.12820696830749512	stim	1		0	dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	58.14196300506592	0.0012769699096679688
dummy	0.12948393821716309	stim	2		1980	dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	58.143239974975586	16.495508193969727
dummy	1.3084650039672852	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	59.32222104072571	
dummy	2.625091075897217	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	60.63884711265564	
dummy	3.9417569637298584	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	61.95551300048828	
dummy	5.25838303565979	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	63.27213907241821	
dummy	6.5751049518585205	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	64.58886098861694	
dummy	7.516777038574219	response	2	b		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	65.53053307533264	
dummy	7.891744136810303	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	65.90550017356873	
dummy	9.208405017852783	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	67.2221610546112	
dummy	10.52503514289856	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	68.53879117965698	
dummy	11.841675043106079	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	69.8554310798645	
dummy	13.158293008804321	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	71.17204904556274	
dummy	14.475034952163696	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	72.48879098892212	
dummy	15.791737079620361	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	73.80549311637878	
0	16.62499213218689	stim	0		59	isi	8.0	../textures/minmax/oneOverF_texture_1_1024_91.bmp	74.63874816894531	0.4915328025817871
0	17.108355045318604	pulse	0	t		isi	8.0	../textures/minmax/oneOverF_texture_1_1024_91.bmp	75.12211108207703	
0	17.116524934768677	stim	1		96	isi	8.0	../textures/minmax/oneOverF_texture_1_1024_91.bmp	75.1302809715271	0.80019211769104
0	17.916717052459717	stim	2		299	isi	8.0	../textures/minmax/oneOverF_texture_1_1024_91.bmp	75.93047308921814	2.491542100906372
0	18.425063133239746	pulse	2	t		isi	8.0	../textures/minmax/oneOverF_texture_1_1024_91.bmp	76.43881916999817	
0	19.74163007736206	pulse	2	t		isi	8.0	../textures/minmax/oneOverF_texture_1_1024_91.bmp	77.75538611412048	
1	20.40825915336609	stim	0		79	blank	0.0	../textures/minmax/oneOverF_texture_1_1024_99.bmp	78.42201519012451	0.6583747863769531
1	21.058352947235107	pulse	0	t		blank	0.0	../textures/minmax/oneOverF_texture_1_1024_99.bmp	79.07210898399353	
