trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_dur	oneOverF_texture_path	onset_abs	duration
dummy	0.10826706886291504	stim	0		0	dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	38.24699807167053	0.0030639171600341797
dummy	0.11133098602294922	stim	1		0	dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	38.250061988830566	0.0012340545654296875
dummy	0.1125650405883789	stim	2		1980	dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	38.251296043395996	16.495532989501953
dummy	1.3083510398864746	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	39.44708204269409	
dummy	2.624886989593506	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	40.76361799240112	
dummy	3.9416019916534424	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	42.08033299446106	
dummy	5.258234024047852	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	43.39696502685547	
dummy	6.574908971786499	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	44.713639974594116	
dummy	7.891530990600586	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	46.0302619934082	
dummy	9.20822286605835	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	47.34695386886597	
dummy	10.525003910064697	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	48.663734912872314	
dummy	11.841538906097412	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	49.98026990890503	
dummy	12.616520881652832	response	2	b		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	50.75525188446045	
dummy	13.158182859420776	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	51.296913862228394	
dummy	14.474885940551758	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	52.613616943359375	
dummy	15.791553020477295	pulse	2	t		dur	0.0	../textures/minmax/oneOverF_texture_1_1024_47.bmp	53.93028402328491	
0	16.608098030090332	stim	0		61	isi	16.0	../textures/minmax/oneOverF_texture_1_1024_24.bmp	54.74682903289795	0.5083258152008057
0	17.108235836029053	pulse	0	t		isi	16.0	../textures/minmax/oneOverF_texture_1_1024_24.bmp	55.24696683883667	
0	17.116423845291138	stim	1		96	isi	16.0	../textures/minmax/oneOverF_texture_1_1024_24.bmp	55.255154848098755	0.8000390529632568
0	17.916462898254395	stim	2		299	isi	16.0	../textures/minmax/oneOverF_texture_1_1024_24.bmp	56.05519390106201	2.4917731285095215
0	18.424901008605957	pulse	2	t		isi	16.0	../textures/minmax/oneOverF_texture_1_1024_24.bmp	56.563632011413574	
0	19.741569995880127	pulse	2	t		isi	16.0	../textures/minmax/oneOverF_texture_1_1024_24.bmp	57.880300998687744	
1	20.408236026763916	stim	0		79	isi	64.0	../textures/minmax/oneOverF_texture_1_1024_33.bmp	58.54696702957153	0.6583609580993652
1	21.058377027511597	pulse	0	t		isi	64.0	../textures/minmax/oneOverF_texture_1_1024_33.bmp	59.197108030319214	
1	21.06659698486328	stim	1		96	isi	64.0	../textures/minmax/oneOverF_texture_1_1024_33.bmp	59.2053279876709	0.8001210689544678
1	21.86671805381775	stim	2		299	isi	64.0	../textures/minmax/oneOverF_texture_1_1024_33.bmp	60.005449056625366	2.4918558597564697
1	22.37517499923706	pulse	2	t		isi	64.0	../textures/minmax/oneOverF_texture_1_1024_33.bmp	60.51390600204468	
1	23.4669349193573	response	2	b		isi	64.0	../textures/minmax/oneOverF_texture_1_1024_33.bmp	61.60566592216492	
1	23.692004919052124	pulse	2	t		isi	64.0	../textures/minmax/oneOverF_texture_1_1024_33.bmp	61.83073592185974	
2	24.35857391357422	stim	0		79	isi	32.0	../textures/minmax/oneOverF_texture_1_1024_18.bmp	62.497304916381836	0.6582579612731934
2	25.008760929107666	pulse	0	t		isi	32.0	../textures/minmax/oneOverF_texture_1_1024_18.bmp	63.14749193191528	
2	25.016831874847412	stim	1		96	isi	32.0	../textures/minmax/oneOverF_texture_1_1024_18.bmp	63.15556287765503	0.799968957901001
2	25.816800832748413	stim	2		299	isi	32.0	../textures/minmax/oneOverF_texture_1_1024_18.bmp	63.95553183555603	2.4911551475524902
2	26.324734926223755	pulse	2	t		isi	32.0	../textures/minmax/oneOverF_texture_1_1024_18.bmp	64.46346592903137	
2	27.64133095741272	pulse	2	t		isi	32.0	../textures/minmax/oneOverF_texture_1_1024_18.bmp	65.78006196022034	
2	28.033030033111572	response	2	b		isi	32.0	../textures/minmax/oneOverF_texture_1_1024_18.bmp	66.17176103591919	
3	28.307955980300903	stim	0		79	dur	16.0	../textures/minmax/oneOverF_texture_1_1024_61.bmp	66.44668698310852	0.6583480834960938
3	28.9580819606781	pulse	0	t		dur	16.0	../textures/minmax/oneOverF_texture_1_1024_61.bmp	67.09681296348572	
3	28.966304063796997	stim	1		96	dur	16.0	../textures/minmax/oneOverF_texture_1_1024_61.bmp	67.10503506660461	0.79998779296875
3	29.766291856765747	stim	2		299	dur	16.0	../textures/minmax/oneOverF_texture_1_1024_61.bmp	67.90502285957336	2.4917280673980713
3	30.274837017059326	pulse	2	t		dur	16.0	../textures/minmax/oneOverF_texture_1_1024_61.bmp	68.41356801986694	
3	31.59144401550293	pulse	2	t		dur	16.0	../textures/minmax/oneOverF_texture_1_1024_61.bmp	69.73017501831055	
4	32.25801992416382	stim	0		80	isi	2.0	../textures/minmax/oneOverF_texture_1_1024_32.bmp	70.39675092697144	0.6665830612182617
