target_times_s,target_times_f,response_times_s,response_times_f,resonse_diff_f
2.1333333333333333,256,1.6486260890960693,198,58
0.5333333333333333,64,1.0489130020141602,126,-62
1.0666666666666667,128,1.115549087524414,134,-6
2.1333333333333333,256,1.7739229202270508,213,43
0.13333333333333333,16,0.49047398567199707,59,-43
0.13333333333333333,16,0.23224997520446777,28,-12
0.26666666666666666,32,0.4239788055419922,51,-19
4.266666666666667,512,2.6655421257019043,320,192
4.266666666666667,512,3.1322848796844482,376,136
2.1333333333333333,256,2.6489460468292236,318,-62
1.0666666666666667,128,1.6989490985870361,204,-76
0.13333333333333333,16,0.24057698249816895,29,-13
0.5333333333333333,64,0.8403980731964111,101,-37
0.13333333333333333,16,0.1322159767150879,16,0
2.1333333333333333,256,1.52394700050354,183,73
0.13333333333333333,16,0.16563010215759277,20,-4
2.1333333333333333,256,0.17399001121520996,21,235
2.1333333333333333,256,2.1572070121765137,259,-3
0.5333333333333333,64,0.5072691440582275,61,3
4.266666666666667,512,2.4488980770111084,294,218
4.266666666666667,512,2.8989319801330566,348,164
0.26666666666666666,32,0.590735912322998,71,-39
0.5333333333333333,64,0.8988728523254395,108,-44
0.5333333333333333,64,1.0488841533660889,126,-62
0.26666666666666666,32,1.557197093963623,187,-155
1.0666666666666667,128,1.5406429767608643,185,-57
1.0666666666666667,128,1.5655720233917236,188,-60
0.13333333333333333,16,1.632331132888794,196,-180
0.13333333333333333,16,0.8239829540252686,99,-83
1.0666666666666667,128,1.4322378635406494,172,-44
0.5333333333333333,64,0.8573918342590332,103,-39
2.1333333333333333,256,1.774034023284912,213,43
2.1333333333333333,256,2.098926067352295,252,4
0.13333333333333333,16,0.26546788215637207,32,-16
4.266666666666667,512,2.982189893722534,358,154
0.26666666666666666,32,0.6822431087493896,82,-50
4.266666666666667,512,2.8156118392944336,338,174
1.0666666666666667,128,1.9572770595550537,235,-107
0.5333333333333333,64,1.0989670753479004,132,-68
4.266666666666667,512,2.882219076156616,346,166
0.13333333333333333,16,0.26549196243286133,32,-16
0.26666666666666666,32,0.26567816734313965,32,0
0.26666666666666666,32,0.3989708423614502,48,-16
0.26666666666666666,32,0.18225693702697754,22,10
0.26666666666666666,32,0.3073279857635498,37,-5
4.266666666666667,512,2.2572128772735596,271,241
1.0666666666666667,128,1.4906768798828125,179,-51
1.0666666666666667,128,1.957313060760498,235,-107
1.0666666666666667,128,2.0406079292297363,245,-117
0.5333333333333333,64,1.432318925857544,172,-108
2.1333333333333333,256,1.9322268962860107,232,24
4.266666666666667,512,3.665585994720459,440,72
4.266666666666667,512,3.557229995727539,427,85
1.0666666666666667,128,1.7156589031219482,206,-78
0.5333333333333333,64,0.5156440734863281,62,2
0.26666666666666666,32,0.34059691429138184,41,-9
2.1333333333333333,256,1.3989648818969727,168,88
0.5333333333333333,64,0.7656350135803223,92,-28
0.26666666666666666,32,0.25716114044189453,31,1
0.13333333333333333,16,0.06556582450866699,8,8
